This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - proved reserves(bbl) 	 Date of Information
140 	 Puerto Rico 	               0 	 1 January 2006
141 	 Paraguay 	               0 	 1 January 2006
142 	 Nicaragua 	               0 	 1 January 2006
143 	 Netherlands Antilles 	               0 	 1 January 2006
144 	 Nauru 	               0 	 1 January 2006
145 	 Nepal 	               0 	 1 January 2006
146 	 Vanuatu 	               0 	 1 January 2006
147 	 Niger 	               0 	 1 January 2006
148 	 Niue 	               0 	 1 January 2006
149 	 New Caledonia 	               0 	 1 January 2006
150 	 Guinea-Bissau 	               0 	 1 January 2006
151 	 Portugal 	               0 	 1 January 2006
152 	 Panama 	               0 	 1 January 2006
153 	 Mozambique 	               0 	 1 January 2006
154 	 Maldives 	               0 	 1 January 2006
155 	 Malta 	               0 	 1 January 2006
156 	 Mauritania 	               0 	 1 January 2006
157 	 Mauritius 	               0 	 1 January 2006
158 	 Mali 	               0 	 1 January 2006
159 	 Macedonia 	               0 	 1 January 2006
160 	 Malawi 	               0 	 1 January 2006
161 	 Lebanon 	               0 	 1 January 2006
162 	 Laos 	               0 	 1 January 2006
163 	 Korea, South 	               0 	 1 January 2006
164 	 Kiribati 	               0 	 1 January 2006
165 	 Korea, North 	               0 	 1 January 2006
166 	 Kenya 	               0 	 1 January 2006
167 	 Jamaica 	               0 	 1 January 2006
168 	 Gambia, The 	               0 	 1 January 2006
169 	 French Polynesia 	               0 	 1 January 2006
170 	 Faroe Islands 	               0 	 1 January 2006
171 	 Falkland Islands (Islas Malvinas) 	               0 	 1 January 2006
172 	 Fiji 	               0 	 1 January 2006
173 	 Finland 	               0 	 1 January 2006
174 	 El Salvador 	               0 	 1 January 2006
175 	 Eritrea 	               0 	 1 January 2006
176 	 Estonia 	               0 	 1 January 2006
177 	 Iceland 	               0 	 1 January 2006
178 	 Honduras 	               0 	 1 January 2006
179 	 Hong Kong 	               0 	 1 January 2006
180 	 Haiti 	               0 	 1 January 2006
181 	 Guyana 	               0 	 1 January 2006
182 	 Guinea 	               0 	 1 January 2006
183 	 Guam 	               0 	 1 January 2006
184 	 Greenland 	               0 	 1 January 2006
185 	 Grenada 	               0 	 1 January 2006
186 	 Gibraltar 	               0 	 1 January 2006
187 	 Ireland 	               0 	 1 January 2006
188 	 Dominican Republic 	               0 	 1 January 2006
189 	 Dominica 	               0 	 1 January 2006
190 	 Djibouti 	               0 	 1 January 2006
191 	 Cook Islands 	               0 	 1 January 2006
192 	 Cape Verde 	               0 	 1 January 2006
193 	 Central African Republic 	               0 	 1 January 2006
194 	 Costa Rica 	               0 	 1 January 2006
195 	 Comoros 	               0 	 1 January 2006
196 	 Cayman Islands 	               0 	 1 January 2006
197 	 Sri Lanka 	               0 	 1 January 2006
198 	 Chad 	               0 	 1 January 2006
199 	 Cambodia 	               0 	 1 January 2006
200 	 Burundi 	               0 	 1 January 2006
201 	 Bhutan 	               0 	 1 January 2006
202 	 Solomon Islands 	               0 	 1 January 2006
203 	 Bosnia and Herzegovina 	               0 	 1 January 2006
204 	 Belize 	               0 	 1 January 2006
205 	 Bahamas, The 	               0 	 1 January 2006
206 	 Bermuda 	               0 	 1 January 2006
207 	 Armenia 	               0 	 1 January 2006
208 	 American Samoa 	               0 	 1 January 2006
209 	 Antigua and Barbuda 	               0 	 1 January 2006

 This file was last updated on 13 December, 2007
