This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
208 	 Gibraltar 	           12,690 	 2001
209 	 Western Sahara 	           12,000 	 
210 	 Palau 	            9,777 	 2005
211 	 Kiribati 	            7,870 	 2001 est.
212 	 Cook Islands 	            6,820 	 2001
213 	 Anguilla 	            6,049 	 2001
214 	 Turks and Caicos Islands 	            4,848 	 1990 est.
215 	 Montserrat 	            4,521 	 2000 est.
216 	 Tuvalu 	            3,615 	 2004 est.
217 	 Saint Pierre and Miquelon 	            3,450 	 2005
218 	 Wallis and Futuna 	            3,104 	 2003
219 	 Saint Helena 	            2,486 	 1998 est.
220 	 Falkland Islands (Islas Malvinas) 	            1,724 	 1996
221 	 Niue 	             663 	 2001
222 	 Tokelau 	             440 	 2001
223 	 Pitcairn Islands 	              15 	 2004

 This file was last updated on 13 December, 2007
