This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Debt - external 	 Date of Information
137 	 Burkina Faso 	 $       1,850,000,000 	 2003
138 	 Papua New Guinea 	 $       1,813,000,000 	 2006 est.
139 	 Sierra Leone 	 $       1,610,000,000 	 2003 est.
140 	 Benin 	 $       1,600,000,000 	 2000
141 	 Albania 	 $       1,550,000,000 	 2004
142 	 Chad 	 $       1,500,000,000 	 2003 est.
143 	 Senegal 	 $       1,437,000,000 	 2006 est.
144 	 Rwanda 	 $       1,400,000,000 	 2004 est.
145 	 Mongolia 	 $       1,380,000,000 	 2005
146 	 Namibia 	 $       1,348,000,000 	 2006 est.
147 	 Haiti 	 $       1,312,000,000 	 2006 est.
148 	 Belize 	 $       1,200,000,000 	 June 2005 est.
149 	 Burundi 	 $       1,200,000,000 	 2003
150 	 Guyana 	 $       1,200,000,000 	 2002
151 	 Armenia 	 $       1,160,000,000 	 30 September 2006
152 	 Uganda 	 $       1,136,000,000 	 2006 est.
153 	 Central African Republic 	 $       1,060,000,000 	 2002 est.
154 	 Guinea-Bissau 	 $        941,500,000 	 2000 est.
155 	 Tajikistan 	 $        876,000,000 	 2006 est.
156 	 Seychelles 	 $        847,000,000 	 2006 est.
157 	 Barbados 	 $        668,000,000 	 2003
158 	 Lesotho 	 $        652,000,000 	 2006 est.
159 	 Gambia, The 	 $        628,800,000 	 2003 est.
160 	 Bhutan 	 $        593,000,000 	 2004
161 	 Suriname 	 $        504,300,000 	 2005 est.
162 	 Swaziland 	 $        484,000,000 	 2006 est.
163 	 Botswana 	 $        483,000,000 	 2006 est.
164 	 Maldives 	 $        482,000,000 	 2006 est.
165 	 Aruba 	 $        478,600,000 	 2005 est.
166 	 Malawi 	 $        468,000,000 	 2006 est.
167 	 Antigua and Barbuda 	 $        427,300,000 	 2000
168 	 Djibouti 	 $        394,000,000 	 2004 est.
169 	 Grenada 	 $        347,000,000 	 2004
170 	 Bahamas, The 	 $        342,600,000 	 2004 est.
171 	 Cape Verde 	 $        325,000,000 	 2002
172 	 Sao Tome and Principe 	 $        318,000,000 	 2002
173 	 Saint Kitts and Nevis 	 $        314,000,000 	 2004
