This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Investment (gross fixed)(% of GDP) 	 Date of Information
137 	 Philippines 	     13.80 	 2006 est.
138 	 Bolivia 	     12.90 	 2006 est.
139 	 Cuba 	     12.10 	 2006 est.
140 	 Burma 	     11.80 	 2006 est.
141 	 Guinea 	     11.10 	 2006 est.
142 	 Angola 	      9.90 	 2006 est.
143 	 Seychelles 	      9.50 	 2006 est.
144 	 Malawi 	      9.10 	 2006 est.
145 	 Tajikistan 	      9.00 	 2006 est.
146 	 Cote d'Ivoire 	      8.80 	 2006 est.
147 	 Libya 	      8.00 	 2006 est.

 This file was last updated on 13 December, 2007
