This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
145 	 Guyana 	           11,200 	 2004 est.
146 	 Suriname 	           11,200 	 2004 est.
147 	 Barbados 	           11,000 	 2004 est.
148 	 Uganda 	           10,890 	 2004 est.
149 	 Fiji 	           10,000 	 2004 est.
150 	 Kyrgyzstan 	           10,000 	 2004 est.
151 	 New Caledonia 	           10,000 	 2004 est.
152 	 Guinea 	            9,650 	 2006 est.
153 	 Congo, Democratic Republic of the 	            8,200 	 2004 est.
154 	 Burkina Faso 	            8,200 	 2004 est.
155 	 Maldives 	            7,200 	 2004 est.
156 	 Aruba 	            7,000 	 2004 est.
157 	 Sierra Leone 	            6,600 	 2004 est.
158 	 Congo, Republic of the 	            6,000 	 2004 est.
159 	 French Polynesia 	            6,000 	 2004 est.
160 	 Seychelles 	            5,600 	 2004 est.
161 	 Malawi 	            5,500 	 2004 est.
162 	 Niger 	            5,500 	 2004 est.
163 	 Rwanda 	            5,400 	 2004 est.
164 	 Eritrea 	            5,300 	 2004 est.
165 	 Somalia 	            5,000 	 2004 est.
166 	 Bermuda 	            4,658 	 2005 est.
167 	 Faroe Islands 	            4,550 	 2004 est.
168 	 Afghanistan 	            4,500 	 2004 est.
169 	 Mali 	            4,300 	 2004 est.
170 	 American Samoa 	            3,900 	 2004 est.
171 	 Greenland 	            3,860 	 2004 est.
172 	 Antigua and Barbuda 	            3,800 	 2004 est.
173 	 Cambodia 	            3,750 	 2004 est.
174 	 Liberia 	            3,500 	 2004 est.
175 	 Swaziland 	            3,500 	 2004 est.
176 	 Burundi 	            3,100 	 2004 est.
177 	 Belize 	            3,000 	 2006 est.
178 	 Laos 	            3,000 	 2004 est.
179 	 Saint Lucia 	            2,800 	 2004 est.
180 	 Cayman Islands 	            2,600 	 2004 est.
181 	 Guinea-Bissau 	            2,500 	 2004 est.
182 	 Central African Republic 	            2,420 	 2004 est.
183 	 Gambia, The 	            2,000 	 2004 est.
184 	 Grenada 	            1,800 	 2004 est.
185 	 Western Sahara 	            1,800 	 2004 est.
186 	 Chad 	            1,460 	 2004 est.
187 	 Lesotho 	            1,400 	 2004
188 	 Saint Vincent and the Grenadines 	            1,400 	 2004 est.
189 	 Solomon Islands 	            1,280 	 2004 est.
190 	 Equatorial Guinea 	            1,220 	 2004 est.
191 	 Bhutan 	            1,160 	 2004 est.
192 	 Cape Verde 	            1,150 	 2004 est.
193 	 Nauru 	            1,000 	 2004 est.
194 	 Samoa 	            1,000 	 2004 est.
195 	 Dominica 	             900 	 2004 est.
196 	 Tonga 	             900 	 2004 est.
197 	 Saint Kitts and Nevis 	             800 	 2004 est.
198 	 Comoros 	             720 	 2004 est.
199 	 Sao Tome and Principe 	             660 	 2004 est.
200 	 Vanuatu 	             620 	 2004 est.
201 	 Saint Pierre and Miquelon 	             500 	 2004 est.
202 	 British Virgin Islands 	             480 	 2004 est.
203 	 Montenegro 	             450 	 2004
204 	 Cook Islands 	             420 	 2004 est.
205 	 Montserrat 	             380 	 2003 est.
206 	 Falkland Islands (Islas Malvinas) 	             230 	 2004 est.
207 	 Kiribati 	             200 	 2004 est.
208 	 Saint Helena 	             100 	 2004 est.
209 	 Turks and Caicos Islands 	              80 	 2004 est.
210 	 Niue 	              20 	 2004 est.

 This file was last updated on 13 December, 2007
