This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
140 	 Namibia 	          495,000 	 2005
141 	 Congo, Republic of the 	          490,000 	 2005
142 	 Chad 	          466,100 	 2006
143 	 Malawi 	          429,300 	 2005
144 	 Gambia, The 	          404,300 	 2006
145 	 Malta 	          346,800 	 2006
146 	 Iceland 	          328,500 	 2006
147 	 Niger 	          323,900 	 2005
148 	 Suriname 	          320,000 	 2006
149 	 Armenia 	          318,000 	 2005
150 	 Rwanda 	          290,000 	 2005
151 	 Guyana 	          281,400 	 2005
152 	 Tajikistan 	          265,000 	 2005
153 	 Maldives 	          262,600 	 2006
154 	 Brunei 	          254,000 	 2006
155 	 Swaziland 	          250,000 	 2006
156 	 Lesotho 	          249,800 	 2005
157 	 Bahamas, The 	          227,800 	 2005
158 	 Burma 	          214,200 	 2006
159 	 Barbados 	          206,200 	 2005
160 	 Fiji 	          205,000 	 2005
161 	 Netherlands Antilles 	          200,000 	 2004
162 	 Guinea 	          189,000 	 2005
163 	 Liberia 	          160,000 	 2005
164 	 Burundi 	          153,000 	 2005
165 	 Cuba 	          152,700 	 2006
166 	 French Polynesia 	          152,000 	 2006
167 	 New Caledonia 	          134,300 	 2005
168 	 Belize 	          118,300 	 2006
169 	 Sierra Leone 	          113,200 	 2003
170 	 Cape Verde 	          108,900 	 2006
171 	 Aruba 	          108,200 	 2005
172 	 Saint Lucia 	          105,700 	 2005
173 	 Turkmenistan 	          105,000 	 2005
174 	 Antigua and Barbuda 	          102,000 	 2006
175 	 Central African Republic 	          100,000 	 2005
176 	 Guam 	           98,000 	 2004
177 	 Equatorial Guinea 	           96,900 	 2005
178 	 Guinea-Bissau 	           95,000 	 2005
179 	 Saint Vincent and the Grenadines 	           87,600 	 2006
180 	 Jersey 	           83,900 	 2004
181 	 Bhutan 	           82,100 	 2006
182 	 Virgin Islands 	           80,300 	 2005
183 	 Papua New Guinea 	           75,000 	 2005
184 	 Seychelles 	           70,300 	 2006
185 	 Andorra 	           64,600 	 2005
186 	 Eritrea 	           62,000 	 2006
187 	 Bermuda 	           60,100 	 2006
188 	 Faroe Islands 	           50,000 	 2006
189 	 Timor-Leste 	           49,100 	 2006
190 	 Mayotte 	           48,100 	 2005
191 	 Grenada 	           46,200 	 2006
192 	 Djibouti 	           44,100 	 2005
193 	 Guernsey 	           43,800 	 2004
194 	 Dominica 	           41,800 	 2004
195 	 Greenland 	           32,200 	 2004
196 	 Tonga 	           29,900 	 2005
197 	 Liechtenstein 	           27,500 	 2005
198 	 Samoa 	           24,000 	 2005
199 	 Northern Mariana Islands 	           20,500 	 2004
200 	 Malaysia 	           19,464 	 2006
201 	 San Marino 	           17,390 	 2006
202 	 Monaco 	           17,200 	 2005
203 	 Cayman Islands 	           17,000 	 2002
204 	 Comoros 	           16,100 	 2005
205 	 Micronesia, Federated States of 	           14,100 	 2005
206 	 Vanuatu 	           12,700 	 2005
207 	 Sao Tome and Principe 	           12,000 	 2005
208 	 Saint Kitts and Nevis 	           10,000 	 2004
209 	 Gibraltar 	            9,797 	 2002
210 	 British Virgin Islands 	            8,000 	 2002
211 	 Solomon Islands 	            6,000 	 2005
212 	 American Samoa 	            2,200 	 2004
213 	 Anguilla 	            1,800 	 2002
214 	 Turks and Caicos Islands 	            1,700 	 1999
215 	 Cook Islands 	            1,500 	 2002
216 	 Nauru 	            1,500 	 2002
217 	 Palau 	            1,000 	 2002
218 	 Kiribati 	             600 	 2004
219 	 Marshall Islands 	             600 	 2004
220 	 Niue 	             400 	 2002
221 	 Falkland Islands (Islas Malvinas) 	               0 	 2001
222 	 Tuvalu 	               0 	 2004
223 	 Wallis and Futuna 	               0 	 1994
224 	 Western Sahara 	               0 	 1999
225 	 Norfolk Island 	               0 	 2002

 This file was last updated on 13 December, 2007
