This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet hosts 	 Date of Information
168 	 Anguilla 	             319 	 2007
169 	 Mongolia 	             298 	 2007
170 	 Gabon 	             288 	 2007
171 	 Saint Helena 	             283 	 2007
172 	 Dominica 	             257 	 2007
173 	 Tokelau 	             249 	 2007
174 	 Bahamas, The 	             248 	 2007
175 	 Macau 	             232 	 2007
176 	 Niger 	             200 	 2007
177 	 Senegal 	             199 	 2007
178 	 South Georgia and the South Sandwich Islands 	             193 	 2007
179 	 Burkina Faso 	             193 	 2007
180 	 Seychelles 	             187 	 2007
181 	 Guinea 	             173 	 2007
182 	 Djibouti 	             168 	 2007
183 	 Burundi 	             163 	 2007
184 	 Isle of Man 	             159 	 2007
185 	 Syria 	             119 	 2007
186 	 Barbados 	             104 	 2007
187 	 Falkland Islands (Islas Malvinas) 	             104 	 2007
188 	 Burma 	             101 	 2007
189 	 Turkmenistan 	              97 	 2007
190 	 Saint Vincent and the Grenadines 	              97 	 2007
191 	 Norfolk Island 	              96 	 2007
192 	 Timor-Leste 	              94 	 2007
193 	 Ethiopia 	              89 	 2007
194 	 Equatorial Guinea 	              81 	 2007
195 	 Chad 	              72 	 2007
196 	 Lesotho 	              66 	 2007
197 	 British Indian Ocean Territory 	              61 	 2007
198 	 Nauru 	              53 	 2007
199 	 Sierra Leone 	              46 	 2007
200 	 Saint Kitts and Nevis 	              45 	 2007
201 	 Kiribati 	              41 	 2007
202 	 Liberia 	              38 	 2007
203 	 Guam 	              36 	 2007
204 	 French Southern and Antarctic Lands 	              33 	 2007
205 	 Mali 	              28 	 2007
206 	 Suriname 	              28 	 2007
207 	 Libya 	              24 	 2007
208 	 Afghanistan 	              21 	 2007
209 	 Sudan 	              21 	 2007
210 	 Holy See (Vatican City) 	              20 	 2007
211 	 Qatar 	              19 	 2007
212 	 Central African Republic 	              15 	 2007
213 	 Saint Lucia 	              15 	 2007
214 	 Mauritania 	              14 	 2007
215 	 Pitcairn Islands 	               9 	 2007
216 	 Grenada 	               7 	 2007
217 	 Haiti 	               7 	 2007
218 	 Bouvet Island 	               6 	 2007
219 	 Gambia, The 	               6 	 2007
220 	 Comoros 	               6 	 2007
221 	 Northern Mariana Islands 	               5 	 2007
222 	 Yemen 	               5 	 2007
223 	 Congo, Republic of the 	               3 	 2007
224 	 Marshall Islands 	               3 	 2007
225 	 Iraq 	               3 	 2007
226 	 Mayotte 	               1 	 2007
227 	 Palau 	               1 	 2007
228 	 Wallis and Futuna 	               1 	 2007
229 	 Guinea-Bissau 	               0 	 2007
230 	 Saint Pierre and Miquelon 	               0 	 2007
231 	 Somalia 	               0 	 2007

 This file was last updated on 13 December, 2007
