This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Airports 	 Date of Information
86 	 Somalia 	              60 	 2004 est.
87 	 Gabon 	              56 	 2004 est.
88 	 Austria 	              55 	 2004 est.
89 	 Tajikistan 	              55 	 2004 est.
90 	 Liberia 	              53 	 2004 est.
91 	 Turkmenistan 	              53 	 2004 est.
92 	 Kyrgyzstan 	              52 	 2004 est.
93 	 Israel 	              51 	 2004 est.
94 	 Azerbaijan 	              50 	 2004 est.
95 	 Chad 	              50 	 2004 est.
96 	 Central African Republic 	              50 	 2004 est.
97 	 Latvia 	              50 	 2004 est.
98 	 French Polynesia 	              50 	 2004 est.
99 	 Guyana 	              49 	 2004 est.
100 	 Afghanistan 	              47 	 2004 est.
101 	 Cameroon 	              47 	 2004 est.
102 	 Mongolia 	              46 	 2004 est.
103 	 Suriname 	              46 	 2004 est.
104 	 Nepal 	              46 	 2004 est.
105 	 Hungary 	              44 	 2004 est.
106 	 Serbia and Montenegro 	              44 	 2004 est.
107 	 Yemen 	              44 	 2004 est.
108 	 Laos 	              44 	 2004 est.
109 	 Belgium 	              43 	 2004 est.
110 	 Belize 	              43 	 2004 est.
111 	 Malawi 	              42 	 2004 est.
112 	 Taiwan 	              40 	 2004 est.
113 	 Cote d'Ivoire 	              37 	 2004 est.
114 	 Ireland 	              36 	 2004 est.
115 	 United Arab Emirates 	              35 	 2004 est.
116 	 Jamaica 	              35 	 2004 est.
117 	 Slovakia 	              34 	 2004 est.
118 	 Solomon Islands 	              33 	 2004 est.
119 	 Burkina Faso 	              33 	 2004 est.
120 	 Congo, Republic of the 	              32 	 2004 est.
121 	 Dominican Republic 	              31 	 2004 est.
122 	 Georgia 	              30 	 2004 est.
123 	 Tunisia 	              30 	 2004 est.
124 	 Puerto Rico 	              30 	 2004 est.
125 	 Vanuatu 	              30 	 2004 est.
126 	 Estonia 	              29 	 2004 est.
127 	 Uganda 	              29 	 2004 est.
128 	 Fiji 	              28 	 2004 est.
129 	 Lesotho 	              28 	 2004 est.
130 	 Mali 	              28 	 2004 est.
131 	 Guinea-Bissau 	              28 	 2004 est.
132 	 Bosnia and Herzegovina 	              27 	 2004 est.
133 	 Niger 	              27 	 2004 est.
134 	 Netherlands 	              27 	 2004 est.
135 	 New Caledonia 	              25 	 2004 est.
136 	 Mauritania 	              24 	 2004 est.
137 	 Vietnam 	              24 	 2004 est.
138 	 Moldova 	              23 	 2004 est.
139 	 Cambodia 	              20 	 2004 est.
140 	 Senegal 	              20 	 2004 est.
141 	 Kiribati 	              20 	 2004 est.
142 	 Swaziland 	              18 	 2004 est.
143 	 Cyprus 	              17 	 2004 est.
144 	 Macedonia 	              17 	 2004 est.
145 	 Jordan 	              17 	 2004 est.
146 	 Eritrea 	              17 	 2004 est.
147 	 Armenia 	              16 	 2004 est.
148 	 Guinea 	              16 	 2004 est.
149 	 Bangladesh 	              16 	 2004 est.
150 	 Marshall Islands 	              15 	 2004 est.
151 	 Seychelles 	              15 	 2004 est.
152 	 Sri Lanka 	              14 	 2004 est.
153 	 Greenland 	              14 	 2004 est.
154 	 Slovenia 	              14 	 2004 est.
155 	 Djibouti 	              13 	 2004 est.
156 	 Haiti 	              13 	 2004 est.
157 	 Ghana 	              12 	 2004 est.
158 	 Albania 	              11 	 2004 est.
159 	 Western Sahara 	              11 	 2004 est.
160 	 French Guiana 	              11 	 2004 est.
161 	 Sierra Leone 	              10 	 2004 est.
162 	 Singapore 	              10 	 2004 est.
163 	 Cook Islands 	               9 	 2004 est.
164 	 Togo 	               9 	 2004 est.
165 	 Rwanda 	               9 	 2004 est.
166 	 Guadeloupe 	               9 	 2004 est.
167 	 Burundi 	               8 	 2004 est.
168 	 East Timor 	               8 	 2004 est.
169 	 Turks and Caicos Islands 	               8 	 2004 est.
170 	 Lebanon 	               8 	 2004 est.
171 	 Cape Verde 	               7 	 2004 est.
172 	 Kuwait 	               7 	 2004 est.
173 	 Micronesia, Federated States of 	               6 	 2004 est.
174 	 Trinidad and Tobago 	               6 	 2004 est.
175 	 Mauritius 	               6 	 2004 est.
176 	 Tonga 	               6 	 2004 est.
177 	 Saint Vincent and the Grenadines 	               6 	 2004 est.
178 	 Benin 	               5 	 2004 est.
179 	 Falkland Islands (Islas Malvinas) 	               5 	 2004 est.
180 	 Northern Mariana Islands 	               5 	 2004 est.
181 	 Maldives 	               5 	 2004 est.
182 	 Netherlands Antilles 	               5 	 2004 est.
183 	 Guam 	               5 	 2004 est.
184 	 Bahrain 	               4 	 2004 est.
185 	 Equatorial Guinea 	               4 	 2004 est.
186 	 Qatar 	               4 	 2004 est.
187 	 Samoa 	               4 	 2004 est.
188 	 Svalbard 	               4 	 2004 est.
189 	 Comoros 	               4 	 2004 est.
190 	 Hong Kong 	               4 	 2004 est.
191 	 Antigua and Barbuda 	               3 	 2004 est.
192 	 Cayman Islands 	               3 	 2004 est.
193 	 West Bank 	               3 	 2004 est.
194 	 British Virgin Islands 	               3 	 2004 est.
195 	 Palau 	               3 	 2004 est.
196 	 Spratly Islands 	               3 	 2004 est.
197 	 Midway Islands 	               3 	 2004 est.
198 	 Grenada 	               3 	 2004 est.
199 	 Anguilla 	               3 	 2004 est.
200 	 American Samoa 	               3 	 2004 est.
201 	 Bhutan 	               2 	 2004 est.
202 	 Saint Pierre and Miquelon 	               2 	 2004 est.
203 	 Wallis and Futuna 	               2 	 2004 est.
204 	 Virgin Islands 	               2 	 2004 est.
205 	 Sao Tome and Principe 	               2 	 2004 est.
206 	 Saint Lucia 	               2 	 2004 est.
207 	 Saint Kitts and Nevis 	               2 	 2004 est.
208 	 Reunion 	               2 	 2004 est.
209 	 Luxembourg 	               2 	 2004 est.
210 	 Martinique 	               2 	 2004 est.
211 	 Gaza Strip 	               2 	 2004 est.
212 	 Brunei 	               2 	 2004 est.
213 	 Guernsey 	               2 	 2004 est.
214 	 Dominica 	               2 	 2004 est.
215 	 Aruba 	               1 	 2004 est.
216 	 Wake Island 	               1 	 2004 est.
217 	 Tuvalu 	               1 	 2004 est.
218 	 Tromelin Island 	               1 	 2004 est.
219 	 Saint Helena 	               1 	 2004 est.
220 	 Paracel Islands 	               1 	 2004 est.
221 	 Palmyra Atoll 	               1 	 2004 est.
222 	 Christmas Island 	               1 	 2004 est.
223 	 Juan de Nova Island 	               1 	 2004 est.
224 	 Johnston Atoll 	               1 	 2005
225 	 Jan Mayen 	               1 	 2004 est.
226 	 Jersey 	               1 	 2004 est.
227 	 British Indian Ocean Territory 	               1 	 2004 est.
228 	 Isle of Man 	               1 	 2004 est.
229 	 Glorioso Islands 	               1 	 2004 est.
230 	 Nauru 	               1 	 2004 est.
231 	 Norfolk Island 	               1 	 2004 est.
232 	 Niue 	               1 	 2004 est.
233 	 Malta 	               1 	 2004 est.
234 	 Montserrat 	               1 	 2004 est.
235 	 Mayotte 	               1 	 2004 est.
236 	 Macau 	               1 	 2004 est.
237 	 Gibraltar 	               1 	 2004 est.
238 	 Gambia, The 	               1 	 2004 est.
239 	 Bermuda 	               1 	 2004 est.
240 	 Cocos (Keeling) Islands 	               1 	 2004 est.
241 	 Faroe Islands 	               1 	 2004 est.
242 	 Europa Island 	               1 	 2004 est.
243 	 Barbados 	               1 	 2004 est.

 This file was last updated on 10 January, 2006
