This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
48 	 United Arab Emirates 	     45,120,000,000 	 2004
49 	 Portugal 	     44,320,000,000 	 2003
50 	 Israel 	     44,240,000,000 	 2003
51 	 Denmark 	     43,320,000,000 	 2003
52 	 New Zealand 	     39,820,000,000 	 2003
53 	 Vietnam 	     39,700,000,000 	 2003
54 	 Kuwait 	     38,190,000,000 	 2003
55 	 Bulgaria 	     38,070,000,000 	 2003
56 	 Serbia and Montenegro 	     36,040,000,000 	 2003
57 	 Hong Kong 	     33,380,000,000 	 2003
58 	 Singapore 	     33,210,000,000 	 2003
59 	 Hungary 	     32,210,000,000 	 2003
60 	 Iraq 	     31,700,000,000 	 2005
61 	 Belarus 	     30,000,000,000 	 2004
62 	 Slovakia 	     29,710,000,000 	 2003
63 	 Syria 	     27,180,000,000 	 2003
64 	 Algeria 	     26,990,000,000 	 2003
65 	 Ireland 	     23,410,000,000 	 2003
66 	 Puerto Rico 	     23,030,000,000 	 2003
67 	 Peru 	     22,680,000,000 	 2003 est.
68 	 Azerbaijan 	     20,000,000,000 	 2003
69 	 Korea, North 	     18,750,000,000 	 2003
70 	 Lithuania 	     18,640,000,000 	 2003
71 	 Bangladesh 	     17,420,000,000 	 2003
72 	 Morocco 	     17,350,000,000 	 2003
73 	 Cuba 	     15,650,000,000 	 2004
74 	 Nigeria 	     15,590,000,000 	 2003
75 	 Tajikistan 	     15,410,000,000 	 2003
76 	 Mozambique 	     15,140,000,000 	 2003
77 	 Libya 	     14,400,000,000 	 2003
78 	 Kyrgyzstan 	     13,770,000,000 	 2003
79 	 Slovenia 	     13,230,000,000 	 2003
80 	 Dominican Republic 	     12,600,000,000 	 2003
81 	 Tunisia 	     11,560,000,000 	 2003
82 	 Turkmenistan 	     11,410,000,000 	 2004 est.
83 	 Ecuador 	     11,270,000,000 	 2003
84 	 Croatia 	     11,150,000,000 	 2003
85 	 Lebanon 	     10,670,000,000 	 2003
86 	 Bosnia and Herzegovina 	     10,510,000,000 	 2003
87 	 Oman 	     10,300,000,000 	 2003
88 	 Qatar 	      9,735,000,000 	 2003
89 	 Estonia 	      9,017,000,000 	 2003
90 	 Zimbabwe 	      8,877,000,000 	 2003
91 	 Georgia 	      8,634,000,000 	 2003
92 	 Uruguay 	      8,611,000,000 	 2003
93 	 Iceland 	      8,354,000,000 	 2003
94 	 Zambia 	      8,347,000,000 	 2003
95 	 Costa Rica 	      7,726,000,000 	 2003
96 	 Jordan 	      7,517,000,000 	 2003
97 	 Burma 	      7,393,000,000 	 2003
98 	 Bahrain 	      7,345,000,000 	 2003
99 	 Sri Lanka 	      7,308,000,000 	 2003
100 	 Guatemala 	      6,898,000,000 	 2003
101 	 Jamaica 	      6,585,000,000 	 2003
102 	 Trinidad and Tobago 	      6,076,000,000 	 2003
103 	 Congo, Democratic Republic of the 	      6,036,000,000 	 2003
104 	 Albania 	      5,680,000,000 	 2004
105 	 Macedonia 	      5,566,000,000 	 2003
106 	 Panama 	      5,398,000,000 	 2003
107 	 Ghana 	      5,356,000,000 	 2003
108 	 Cote d'Ivoire 	      5,127,000,000 	 2003
109 	 Armenia 	      4,954,000,000 	 2003
110 	 Kenya 	      4,342,000,000 	 2003
111 	 Honduras 	      4,338,000,000 	 2003
112 	 Bolivia 	      4,250,000,000 	 2003
113 	 El Salvador 	      4,158,000,000 	 2004
114 	 Yemen 	      3,848,000,000 	 2003 est.
115 	 Cyprus 	      3,801,000,000 	 2003
116 	 Laos 	      3,767,000,000 	 2003
117 	 Latvia 	      3,573,000,000 	 2003
118 	 Sudan 	      3,165,000,000 	 2003
119 	 Tanzania 	      3,152,000,000 	 2003
120 	 Cameroon 	      2,988,000,000 	 2003
121 	 Moldova 	      2,942,000,000 	 2003
122 	 Luxembourg 	      2,808,000,000 	 2003
123 	 Mongolia 	      2,692,000,000 	 2004 est.
124 	 Brunei 	      2,659,000,000 	 2003
125 	 Nepal 	      2,512,000,000 	 2003
126 	 Nicaragua 	      2,503,000,000 	 2003
127 	 Malta 	      2,082,000,000 	 2003
128 	 Ethiopia 	      2,058,000,000 	 2003
129 	 Suriname 	      2,014,000,000 	 2003
130 	 Mauritius 	      1,941,000,000 	 2003
131 	 Angola 	      1,916,000,000 	 2003
132 	 Bhutan 	      1,882,000,000 	 2003
133 	 Bahamas, The 	      1,810,000,000 	 2003
134 	 Uganda 	      1,729,000,000 	 2003
135 	 Macau 	      1,616,000,000 	 2003
136 	 Papua New Guinea 	      1,592,000,000 	 2003
137 	 New Caledonia 	      1,581,000,000 	 2003
138 	 Gabon 	      1,487,000,000 	 2003
139 	 Namibia 	      1,464,000,000 	 2003
140 	 Senegal 	      1,332,000,000 	 2003
141 	 Malawi 	      1,296,000,000 	 2003
142 	 Martinique 	      1,205,000,000 	 2003
143 	 Reunion 	      1,190,000,000 	 2003
144 	 Guadeloupe 	      1,165,000,000 	 2003
145 	 Virgin Islands 	      1,040,000,000 	 2003
146 	 Netherlands Antilles 	      1,017,000,000 	 2003
147 	 Afghanistan 	       905,000,000 	 2003
148 	 Botswana 	       891,000,000 	 2004
149 	 Guam 	       840,100,000 	 2003
150 	 Madagascar 	       825,400,000 	 2003
151 	 Mali 	       820,000,000 	 2003
152 	 Barbados 	       819,000,000 	 2003
153 	 Guyana 	       779,000,000 	 2003
154 	 Fiji 	       775,700,000 	 2003
155 	 Guinea 	       775,000,000 	 2003
156 	 Aruba 	       770,000,000 	 2003
157 	 Bermuda 	       624,000,000 	 2003
158 	 Haiti 	       546,000,000 	 2003
159 	 Liberia 	       509,400,000 	 2003
160 	 French Polynesia 	       493,700,000 	 2003
161 	 French Guiana 	       465,200,000 	 2003
162 	 Cayman Islands 	       441,900,000 	 2003
163 	 Swaziland 	       392,000,000 	 2003
164 	 Burkina Faso 	       375,600,000 	 2003
165 	 Lesotho 	       350,000,000 	 2003
166 	 Congo, Republic of the 	       343,000,000 	 2003
167 	 Saint Lucia 	       281,000,000 	 2003
168 	 Eritrea 	       270,900,000 	 2003
169 	 Sierra Leone 	       260,600,000 	 2003
170 	 Faroe Islands 	       260,200,000 	 2003
171 	 Greenland 	       242,200,000 	 2003
172 	 Seychelles 	       241,300,000 	 2003
173 	 Djibouti 	       240,000,000 	 2003
174 	 Somalia 	       235,600,000 	 2003
175 	 Niger 	       230,000,000 	 2003
176 	 Micronesia, Federated States of 	       192,000,000 	 2002
177 	 Mauritania 	       185,600,000 	 2003
178 	 Togo 	       165,900,000 	 2003
179 	 Grenada 	       159,800,000 	 2003
180 	 Burundi 	       141,300,000 	 2003
181 	 Gambia, The 	       140,000,000 	 2003
182 	 Maldives 	       135,000,000 	 2003
183 	 American Samoa 	       130,000,000 	 2003
184 	 Cambodia 	       123,700,000 	 2003
185 	 Belize 	       120,000,000 	 2003
186 	 Chad 	       120,000,000 	 2003
187 	 Samoa 	       116,000,000 	 2003
188 	 Saint Kitts and Nevis 	       111,700,000 	 2003
189 	 Gibraltar 	       106,100,000 	 2003
190 	 Central African Republic 	       106,000,000 	 2003
191 	 Antigua and Barbuda 	       100,000,000 	 2003
192 	 Rwanda 	        98,000,000 	 2003
193 	 Saint Vincent and the Grenadines 	        95,000,000 	 2003
194 	 Western Sahara 	        85,000,000 	 2003
195 	 Dominica 	        69,980,000 	 2003
196 	 Benin 	        69,000,000 	 2003
197 	 Guinea-Bissau 	        56,000,000 	 2003
198 	 Solomon Islands 	        55,000,000 	 2003
199 	 Cape Verde 	        44,150,000 	 2003
200 	 Saint Pierre and Miquelon 	        44,150,000 	 2003
201 	 Vanuatu 	        41,000,000 	 2003
202 	 British Virgin Islands 	        34,550,000 	 2003
203 	 Tonga 	        34,000,000 	 2003
204 	 Equatorial Guinea 	        29,430,000 	 2003
205 	 Cook Islands 	        28,000,000 	 2003
206 	 Nauru 	        23,000,000 	 2003
207 	 Falkland Islands (Islas Malvinas) 	        22,230,000 	 2003
208 	 Comoros 	        18,000,000 	 2003
209 	 Sao Tome and Principe 	        15,000,000 	 2003
210 	 Kiribati 	        12,000,000 	 2003
211 	 Saint Helena 	         5,000,000 	 2003
212 	 Turks and Caicos Islands 	         5,000,000 	 2003
213 	 Niue 	         3,000,000 	 2003
214 	 Montserrat 	         2,000,000 	 2003

 This file was last updated on 10 January, 2006
