This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Roadways(km) 	 Date of Information
205 	 Sao Tome and Principe 	             320 	 1999 est.
206 	 Andorra 	             269 	 
207 	 Micronesia, Federated States of 	             240 	 1999 est.
208 	 Niue 	             234 	 2001
209 	 Montserrat 	             227 	 2003
210 	 San Marino 	             220 	 2001
211 	 Saint Helena 	             198 	 2000
212 	 American Samoa 	             185 	 2004
213 	 British Virgin Islands 	             177 	 2002
214 	 Christmas Island 	             140 	 2002
215 	 Turks and Caicos Islands 	             121 	 2000
216 	 Wallis and Futuna 	             120 	 
217 	 Saint Pierre and Miquelon 	             114 	 
218 	 Anguilla 	             105 	 2002
219 	 Mayotte 	              93 	 
220 	 Norfolk Island 	              80 	 2001
221 	 Marshall Islands 	              65 	 2002
222 	 Palau 	              61 	 
223 	 Monaco 	              50 	 1999 est.
224 	 Nauru 	              30 	 1999 est.
225 	 Gibraltar 	              29 	 2002
226 	 Cocos (Keeling) Islands 	              15 	 2005
227 	 Tuvalu 	               8 	 1999 est.
228 	 Pitcairn Islands 	               6 	 

 This file was last updated on 10 January, 2006
