Country Name	Country Code	Series Name	Series Code	2015 [YR2015]	2014 [YR2014]	2013 [YR2013]	2012 [YR2012]	2011 [YR2011]	2010 [YR2010]	2009 [YR2009]	2008 [YR2008]	2007 [YR2007]	2006 [YR2006]	2004 [YR2004]	2005 [YR2005]	2000 [YR2000]	2001 [YR2001]	1999 [YR1999]	1998 [YR1998]	1997 [YR1997]	1996 [YR1996]	1995 [YR1995]	1994 [YR1994]	1993 [YR1993]	1991 [YR1991]	1992 [YR1992]	1990 [YR1990]
"Hong Kong SAR, China"	HKG	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Hungary	HUN	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	30.55	28.94	29.37	26.97	27.53	31.16	28.3	30.02	30.19	27.22	26.92	27.64	26.38	..	..	..	..	27.94	..	..	..
Iceland	ISL	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	26.94	27.03	26.43	28.74	31.89	29.58	30.25	28.11	29.38	..	..	..	..	..	..	..	..	..	..	..	..
India	IND	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	33.9	..	..	..	33.38	..	..	..	..	..	..	..	..	..	30.82	..	..	..
Indonesia	IDN	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	35.57	..	34.11	..	..	..	34.01	..	..	28.99	..	..	31.33	..	..	29.31	..	..	29.19
"Iran, Islamic Rep."	IRN	GINI index (World Bank estimate)	SI.POV.GINI	..	..	37.35	..	..	..	42.02	..	..	..	..	38.34	..	..	..	44.1	..	..	..	43	..	..	..	43.6
Iraq	IRQ	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	29.54	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Ireland	IRL	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	32.52	32.33	32.3	32.84	30.91	31.96	32.73	33.72	33.76	..	..	..	..	..	..	..	..	..	..	..	..
Isle of Man	IMY	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Israel	ISR	GINI index (World Bank estimate)	SI.POV.GINI	..	..	..	..	..	42.78	..	..	41.18	..	..	41.86	..	39.2	..	..	38.1	..	..	..	..	..	35.5	..
