This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - proved reserves(bbl) 	 Date of Information
52 	 Peru 	       382,900,000 	 1 January 2008 est.
53 	 Germany 	       367,000,000 	 1 January 2008 est.
54 	 Turkey 	       300,000,000 	 1 January 2008 est.
55 	 Pakistan 	       289,200,000 	 1 January 2008 est.
56 	 Cameroon 	       200,000,000 	 1 January 2008 est.
57 	 Albania 	       199,100,000 	 1 January 2008 est.
58 	 Belarus 	       198,000,000 	 1 January 2008 est.
59 	 Congo, Democratic Republic of the 	       180,000,000 	 1 January 2008 est.
60 	 Chile 	       150,000,000 	 1 January 2008 est.
61 	 Spain 	       150,000,000 	 1 January 2008 est.
62 	 Philippines 	       138,500,000 	 1 January 2008 est.
63 	 Bahrain 	       124,600,000 	 1 January 2008 est.
64 	 Cuba 	       124,000,000 	 1 January 2008 est.
65 	 France 	       119,800,000 	 1 January 2008 est.
66 	 Cote d'Ivoire 	       100,000,000 	 1 January 2008 est.
67 	 Mauritania 	       100,000,000 	 1 January 2008 est.
68 	 Netherlands 	       100,000,000 	 1 January 2008 est.
69 	 Poland 	        96,380,000 	 1 January 2008 est.
70 	 Suriname 	        88,000,000 	 1 January 2008 est.
71 	 Papua New Guinea 	        88,000,000 	 1 January 2008 est.
72 	 Guatemala 	        83,070,000 	 1 January 2008 est.
73 	 Croatia 	        79,150,000 	 1 January 2008 est.
74 	 Serbia 	        77,500,000 	 1 January 2008 est.
75 	 New Zealand 	        55,000,000 	 1 January 2008 est.
76 	 Austria 	        50,000,000 	 1 January 2008 est.
77 	 Burma 	        50,000,000 	 1 January 2008 est.
78 	 Japan 	        44,120,000 	 1 January 2008 est.
79 	 Kyrgyzstan 	        40,000,000 	 1 January 2008 est.
80 	 Georgia 	        35,000,000 	 1 January 2008 est.
81 	 Bangladesh 	        28,000,000 	 1 January 2008 est.
82 	 Hungary 	        20,180,000 	 1 January 2008 est.
83 	 Bulgaria 	        15,000,000 	 1 January 2008 est.
84 	 Czech Republic 	        15,000,000 	 1 January 2008 est.
85 	 South Africa 	        15,000,000 	 1 January 2008 est.
86 	 Ghana 	        15,000,000 	 1 January 2008 est.
87 	 Lithuania 	        12,000,000 	 1 January 2008 est.
88 	 Tajikistan 	        12,000,000 	 1 January 2008 est.
89 	 Greece 	        10,000,000 	 1 January 2008 est.
90 	 Slovakia 	         9,000,000 	 1 January 2008 est.
91 	 Benin 	         8,000,000 	 1 January 2008 est.
92 	 Belize 	         6,700,000 	 1 January 2008 est.
93 	 Taiwan 	         2,380,000 	 1 January 2008 est.
94 	 Barbados 	         2,200,000 	 1 January 2008 est.
95 	 Israel 	         1,940,000 	 1 January 2008 est.
96 	 Jordan 	         1,000,000 	 1 January 2008 est.
97 	 Morocco 	          836,000 	 1 January 2008 est.
98 	 Ethiopia 	          428,000 	 1 January 2008 est.
99 	 Aruba 	               0 	 1 January 2006 est.
100 	 Afghanistan 	               0 	 1 January 2006 est.
101 	 Botswana 	               0 	 1 January 2006 est.
102 	 Zimbabwe 	               0 	 1 January 2006 est.
103 	 Swaziland 	               0 	 1 January 2006 est.
104 	 Samoa 	               0 	 1 January 2006 est.
105 	 Western Sahara 	               0 	 1 January 2006 est.
106 	 Namibia 	               0 	 1 January 2006 est.
107 	 British Virgin Islands 	               0 	 1 January 2006 est.
108 	 Saint Vincent and the Grenadines 	               0 	 1 January 2006 est.
109 	 Burkina Faso 	               0 	 1 January 2006 est.
110 	 Uganda 	               0 	 1 January 2006 est.
111 	 Tanzania 	               0 	 1 January 2006 est.
112 	 Sao Tome and Principe 	               0 	 1 January 2006 est.
113 	 Togo 	               0 	 1 January 2006 est.
114 	 Tonga 	               0 	 1 January 2007 est.
115 	 Turks and Caicos Islands 	               0 	 1 January 2006 est.
116 	 Sweden 	               0 	 1 January 2006 est.
117 	 Saint Lucia 	               0 	 1 January 2006 est.
118 	 Somalia 	               0 	 1 January 2006 est.
119 	 Singapore 	               0 	 1 January 2006 est.
120 	 Sierra Leone 	               0 	 1 January 2006 est.
121 	 Slovenia 	               0 	 1 January 2006 est.
122 	 Saint Helena 	               0 	 1 January 2006 est.
123 	 Senegal 	               0 	 1 January 2006 est.
