This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Internet users 	 Date of Information
123 	 Paraguay 	          280,000 	 2007
124 	 Libya 	          260,000 	 2006
125 	 Bahrain 	          250,000 	 2007
126 	 Congo, Democratic Republic of the 	          230,400 	 2007
127 	 Iceland 	          202,300 	 2007
128 	 Mozambique 	          200,000 	 2007
129 	 Brunei 	          199,532 	 2007
130 	 Guyana 	          190,000 	 2007
131 	 Armenia 	          172,800 	 2006
132 	 Barbados 	          160,000 	 2005
133 	 Malta 	          158,000 	 2007
134 	 Nicaragua 	          155,000 	 2006
135 	 Benin 	          150,000 	 2007
136 	 Gabon 	          145,000 	 2007
137 	 Malawi 	          139,500 	 2007
138 	 Bahamas, The 	          120,000 	 2007
139 	 Eritrea 	          120,000 	 2007
140 	 Madagascar 	          110,000 	 2006
141 	 Papua New Guinea 	          110,000 	 2006
142 	 Saint Lucia 	          110,000 	 2007
143 	 Namibia 	          101,000 	 2007
144 	 Gambia, The 	          100,200 	 2007
145 	 Angola 	          100,000 	 2007
146 	 Rwanda 	          100,000 	 2007
147 	 Mali 	          100,000 	 2007
148 	 Laos 	          100,000 	 2007
149 	 Somalia 	           98,000 	 2007
150 	 Botswana 	           80,000 	 2007
151 	 New Caledonia 	           80,000 	 2006
152 	 Burkina Faso 	           80,000 	 2006
153 	 Fiji 	           80,000 	 2006
154 	 French Polynesia 	           75,000 	 2007
155 	 Cambodia 	           70,000 	 2007
156 	 Lesotho 	           70,000 	 2007
157 	 Turkmenistan 	           70,000 	 2007
158 	 Congo, Republic of the 	           70,000 	 2006
159 	 Guam 	           65,000 	 2005
160 	 Antigua and Barbuda 	           60,000 	 2007
161 	 Burundi 	           60,000 	 2006
162 	 Chad 	           60,000 	 2006
163 	 Andorra 	           58,900 	 2007
164 	 Saint Vincent and the Grenadines 	           57,000 	 2007
165 	 Iraq 	           54,000 	 2007
166 	 Greenland 	           52,000 	 2007
167 	 Guinea 	           50,000 	 2006
168 	 Bermuda 	           48,000 	 2007
169 	 Suriname 	           44,000 	 2007
170 	 Swaziland 	           42,000 	 2006
171 	 Burma 	           40,000 	 2007
172 	 Bhutan 	           40,000 	 2007
173 	 Niger 	           40,000 	 2006
174 	 Cape Verde 	           37,000 	 2007
175 	 Guinea-Bissau 	           37,000 	 2006
176 	 Guernsey 	           36,000 	 2005
177 	 Faroe Islands 	           34,000 	 2006
178 	 Maldives 	           33,000 	 2007
179 	 Belize 	           32,000 	 2007
180 	 Seychelles 	           32,000 	 2007
181 	 Mauritania 	           30,000 	 2006
182 	 Virgin Islands 	           30,000 	 2007
183 	 Jersey 	           27,000 	 2005
184 	 Dominica 	           26,500 	 2006
185 	 Aruba 	           24,000 	 2007
186 	 Grenada 	           23,000 	 2007
187 	 Sao Tome and Principe 	           23,000 	 2007
188 	 Cayman Islands 	           22,000 	 2007
189 	 Liechtenstein 	           22,000 	 2006
190 	 Comoros 	           21,000 	 2006
191 	 Monaco 	           20,000 	 2006
192 	 Tajikistan 	           19,500 	 2005
193 	 Vanuatu 	           17,000 	 2007
194 	 San Marino 	           15,400 	 2006
195 	 Micronesia, Federated States of 	           15,000 	 2007
196 	 Central African Republic 	           13,000 	 2006
197 	 Sierra Leone 	           13,000 	 2007
198 	 Djibouti 	           11,000 	 2006
199 	 Northern Mariana Islands 	           10,000 	 2003
200 	 Saint Kitts and Nevis 	           10,000 	 2002
201 	 Tonga 	            8,400 	 2007
202 	 Solomon Islands 	            8,000 	 2006
203 	 Equatorial Guinea 	            8,000 	 2006
204 	 Samoa 	            8,000 	 2006
205 	 Gibraltar 	            6,200 	 2002
206 	 British Virgin Islands 	            4,000 	 2002
207 	 Cook Islands 	            3,600 	 2002
208 	 Anguilla 	            3,000 	 2002
209 	 Marshall Islands 	            2,200 	 2006
210 	 Kiribati 	            2,000 	 2007
211 	 Netherlands Antilles 	            2,000 	 2000
212 	 Falkland Islands (Islas Malvinas) 	            1,900 	 2002
213 	 Tuvalu 	            1,300 	 2002
214 	 Timor-Leste 	            1,200 	 2006
215 	 Liberia 	            1,000 	 2002
216 	 Saint Helena 	            1,000 	 2003
217 	 Niue 	             900 	 2002
218 	 Wallis and Futuna 	             900 	 2002
219 	 Norfolk Island 	             700 	 2002 est.
220 	 Christmas Island 	             464 	 2001
221 	 Nauru 	             300 	 2002
222 	 Holy See (Vatican City) 	              93 	 2000

 This file was last updated on 18 December, 2008
