This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Life expectancy at birth(years) 	 Date of Information
160 	 Papua New Guinea 	     66.00 	 2008 est.
161 	 Russia 	     65.94 	 2008 est.
162 	 Bahamas, The 	     65.72 	 2008 est.
163 	 Grenada 	     65.60 	 2008 est.
164 	 Bhutan 	     65.53 	 2008 est.
165 	 Tajikistan 	     64.97 	 2008 est.
166 	 Pakistan 	     64.13 	 2008 est.
167 	 Nauru 	     63.81 	 2008 est.
168 	 Vanuatu 	     63.61 	 2008 est.
169 	 Bangladesh 	     63.21 	 2008 est.
170 	 Comoros 	     63.10 	 2008 est.
171 	 Burma 	     62.94 	 2008 est.
172 	 Yemen 	     62.90 	 2008 est.
173 	 Kiribati 	     62.85 	 2008 est.
174 	 Mayotte 	     62.54 	 2008 est.
175 	 Madagascar 	     62.52 	 2008 est.
176 	 Cambodia 	     61.69 	 2008 est.
177 	 Eritrea 	     61.38 	 2008 est.
178 	 Equatorial Guinea 	     61.23 	 2008 est.
179 	 Nepal 	     60.94 	 2008 est.
180 	 Ghana 	     59.49 	 2008 est.
181 	 Benin 	     58.56 	 2008 est.
182 	 Togo 	     58.28 	 2008 est.
183 	 Haiti 	     57.56 	 2008 est.
184 	 Senegal 	     57.08 	 2008 est.
185 	 Kenya 	     56.64 	 2008 est.
186 	 Guinea 	     56.58 	 2008 est.
187 	 Laos 	     56.29 	 2008 est.
188 	 Ethiopia 	     54.99 	 2008 est.
189 	 Gambia, The 	     54.95 	 2008 est.
190 	 Cote d'Ivoire 	     54.64 	 2008 est.
191 	 Congo, Democratic Republic of the 	     53.98 	 2008 est.
192 	 Western Sahara 	     53.92 	 2008 est.
193 	 Mauritania 	     53.91 	 2008 est.
194 	 Congo, Republic of the 	     53.74 	 2008 est.
195 	 Gabon 	     53.52 	 2008 est.
196 	 Cameroon 	     53.30 	 2008 est.
197 	 Burkina Faso 	     52.55 	 2008 est.
198 	 Uganda 	     52.34 	 2008 est.
199 	 Burundi 	     51.71 	 2008 est.
200 	 Tanzania 	     51.45 	 2008 est.
201 	 Sudan 	     50.28 	 2008 est.
202 	 Botswana 	     50.16 	 2008 est.
203 	 Mali 	     49.94 	 2008 est.
204 	 Namibia 	     49.89 	 2008 est.
205 	 Rwanda 	     49.76 	 2008 est.
206 	 Somalia 	     49.25 	 2008 est.
207 	 South Africa 	     48.89 	 2008 est.
208 	 Guinea-Bissau 	     47.52 	 2008 est.
209 	 Chad 	     47.43 	 2008 est.
210 	 Nigeria 	     46.53 	 2008 est.
211 	 Niger 	     44.28 	 2008 est.
212 	 Zimbabwe 	     44.28 	 2008 est.
213 	 Central African Republic 	     44.22 	 2008 est.
214 	 Afghanistan 	     44.21 	 2008 est.
215 	 Malawi 	     43.45 	 2008 est.
216 	 Djibouti 	     43.31 	 2008 est.
217 	 Liberia 	     41.13 	 2008 est.
218 	 Mozambique 	     41.04 	 2008 est.
219 	 Sierra Leone 	     40.93 	 2008 est.
220 	 Lesotho 	     40.17 	 2008 est.
221 	 Zambia 	     38.59 	 2008 est.
222 	 Angola 	     37.92 	 2008 est.
223 	 Swaziland 	     31.99 	 2008 est.

 This file was last updated on 18 December, 2008
