This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Telephones - mobile cellular 	 Date of Information
98 	 Cambodia 	         2,583,000 	 2007
99 	 Oman 	         2,500,000 	 2007
100 	 Jamaica 	         2,495,000 	 2006
101 	 Mali 	         2,483,000 	 2007
102 	 Bosnia and Herzegovina 	         2,450,000 	 2007
103 	 Georgia 	         2,400,000 	 2007
104 	 Panama 	         2,392,000 	 2007
105 	 Albania 	         2,300,000 	 2007
106 	 Honduras 	         2,241,000 	 2006
107 	 Madagascar 	         2,218,000 	 2007
108 	 Latvia 	         2,217,000 	 2007
109 	 Haiti 	         2,200,000 	 2007
110 	 Kyrgyzstan 	         2,152,000 	 2007
111 	 Nicaragua 	         2,123,000 	 2007
112 	 Estonia 	         1,982,000 	 2007
113 	 Slovenia 	         1,928,000 	 2007
114 	 Benin 	         1,895,000 	 2007
115 	 Moldova 	         1,883,000 	 2007
116 	 Burkina Faso 	         1,611,000 	 2007
117 	 Macedonia 	         1,518,000 	 2007
118 	 Costa Rica 	         1,503,000 	 2007
119 	 Laos 	         1,478,000 	 2007
120 	 Botswana 	         1,427,000 	 2007
121 	 Congo, Republic of the 	         1,334,000 	 2007
122 	 Mauritania 	         1,300,000 	 2007
123 	 Qatar 	         1,264,000 	 2007
124 	 Lebanon 	         1,260,000 	 2007
125 	 Zimbabwe 	         1,226,000 	 2007
126 	 Ethiopia 	         1,208,000 	 2007
127 	 Togo 	         1,190,000 	 2007
128 	 Armenia 	         1,185,400 	 2006
129 	 Gabon 	         1,169,000 	 2007
130 	 Nepal 	         1,157,000 	 2006
131 	 Bahrain 	         1,116,000 	 2007
132 	 Malawi 	         1,051,000 	 2007
133 	 Gaza Strip 	         1,026,000 	 2007
134 	 West Bank 	         1,026,000 	 2007
135 	 Trinidad and Tobago 	         1,008,000 	 2007
136 	 Cyprus 	          962,200 	 
137 	 Mauritius 	          936,000 	 2007
138 	 Chad 	          918,400 	 2007
139 	 Niger 	          900,000 	 2007
140 	 Macau 	          856,200 	 2008
141 	 Namibia 	          800,300 	 2007
142 	 Gambia, The 	          795,900 	 2007
143 	 Sierra Leone 	          776,000 	 2007
144 	 Mongolia 	          775,300 	 2006
145 	 Montenegro 	          643,700 	 2006
146 	 Rwanda 	          635,100 	 2007
147 	 Luxembourg 	          604,200 	 2007
148 	 Somalia 	          600,000 	 2007
149 	 Liberia 	          563,000 	 2007
150 	 Kosovo 	          562,000 	 2006
151 	 Lesotho 	          456,000 	 2007
152 	 Fiji 	          437,000 	 2007
153 	 Swaziland 	          380,000 	 2007
154 	 Bahamas, The 	          374,000 	 2007
155 	 Malta 	          371,500 	 2007
156 	 Iceland 	          347,500 	 2007
157 	 Brunei 	          339,800 	 2007
158 	 Suriname 	          320,000 	 2006
159 	 Maldives 	          317,800 	 2007
160 	 Papua New Guinea 	          300,000 	 2007
161 	 Guinea-Bissau 	          296,200 	 2007
162 	 Guyana 	          281,400 	 2005
163 	 Tajikistan 	          265,000 	 2005
164 	 Burundi 	          250,000 	 2007
165 	 Barbados 	          237,100 	 2006
166 	 Equatorial Guinea 	          220,000 	 2007
167 	 Turkmenistan 	          216,900 	 2006
168 	 Burma 	          214,200 	 2006
169 	 Netherlands Antilles 	          200,000 	 2004
170 	 Cuba 	          198,300 	 2007
171 	 Guinea 	          189,000 	 2005
172 	 New Caledonia 	          176,400 	 2007
173 	 French Polynesia 	          174,800 	 2007
174 	 Bhutan 	          149,400 	 2007
175 	 Cape Verde 	          148,000 	 2007
176 	 Central African Republic 	          130,000 	 2007
177 	 Belize 	          118,300 	 2007
178 	 Antigua and Barbuda 	          110,200 	 2006
179 	 Aruba 	          105,700 	 2006
180 	 Saint Lucia 	          105,700 	 2005
