This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Total fertility rate(children born/woman) 	 Date of Information
144 	 Bermuda 	      1.88 	 2008 est.
145 	 Kazakhstan 	      1.88 	 2008 est.
146 	 Virgin Islands 	      1.88 	 2008 est.
147 	 Lebanon 	      1.87 	 2008 est.
148 	 Turkey 	      1.87 	 2008 est.
149 	 Saint Lucia 	      1.86 	 2008 est.
150 	 Vietnam 	      1.86 	 2008 est.
151 	 Aruba 	      1.85 	 2008 est.
152 	 Ireland 	      1.85 	 2008 est.
153 	 Mauritius 	      1.83 	 2008 est.
154 	 Algeria 	      1.82 	 2008 est.
155 	 Cyprus 	      1.79 	 2008 est.
156 	 Saint Vincent and the Grenadines 	      1.79 	 2008 est.
157 	 Australia 	      1.78 	 2008 est.
158 	 Luxembourg 	      1.78 	 2008 est.
159 	 Norway 	      1.78 	 2008 est.
160 	 China 	      1.77 	 2008 est.
161 	 Puerto Rico 	      1.76 	 2008 est.
162 	 Anguilla 	      1.75 	 2008 est.
163 	 Monaco 	      1.75 	 2008 est.
164 	 Denmark 	      1.74 	 2008 est.
165 	 Finland 	      1.73 	 2008 est.
166 	 Seychelles 	      1.73 	 2008 est.
167 	 Tunisia 	      1.73 	 2008 est.
168 	 Trinidad and Tobago 	      1.73 	 2008 est.
169 	 Iran 	      1.71 	 2008 est.
170 	 British Virgin Islands 	      1.71 	 2008 est.
171 	 Serbia 	      1.69 	 2008 est.
172 	 Sweden 	      1.67 	 2008 est.
173 	 Netherlands 	      1.66 	 2008 est.
174 	 United Kingdom 	      1.66 	 2008 est.
175 	 Barbados 	      1.65 	 2008 est.
176 	 Isle of Man 	      1.65 	 2008 est.
177 	 Gibraltar 	      1.65 	 2008 est.
178 	 Belgium 	      1.65 	 2008 est.
179 	 Thailand 	      1.64 	 2008 est.
180 	 Cuba 	      1.60 	 2008 est.
181 	 Jersey 	      1.58 	 2008 est.
182 	 Macedonia 	      1.58 	 2008 est.
183 	 Canada 	      1.57 	 2008 est.
184 	 Saint Helena 	      1.56 	 2008 est.
185 	 Liechtenstein 	      1.51 	 2008 est.
186 	 Malta 	      1.51 	 2008 est.
187 	 European Union 	      1.50 	 2008 est.
188 	 Portugal 	      1.49 	 2008 est.
189 	 Switzerland 	      1.44 	 2008 est.
190 	 Georgia 	      1.43 	 2008 est.
191 	 Estonia 	      1.42 	 2008 est.
192 	 Germany 	      1.41 	 2008 est.
193 	 Croatia 	      1.41 	 2008 est.
194 	 Bulgaria 	      1.40 	 2008 est.
195 	 Russia 	      1.40 	 2008 est.
196 	 Guernsey 	      1.40 	 2008 est.
197 	 Austria 	      1.38 	 2008 est.
198 	 Romania 	      1.38 	 2008 est.
199 	 Greece 	      1.36 	 2008 est.
200 	 Armenia 	      1.35 	 2008 est.
201 	 San Marino 	      1.35 	 2008 est.
202 	 Hungary 	      1.34 	 2008 est.
203 	 Slovakia 	      1.34 	 2008 est.
204 	 Andorra 	      1.32 	 2008 est.
205 	 Italy 	      1.30 	 2008 est.
206 	 Spain 	      1.30 	 2008 est.
207 	 Latvia 	      1.29 	 2008 est.
208 	 Poland 	      1.27 	 2008 est.
209 	 Slovenia 	      1.27 	 2008 est.
210 	 Moldova 	      1.26 	 2008 est.
211 	 Ukraine 	      1.25 	 2008 est.
212 	 Bosnia and Herzegovina 	      1.24 	 2008 est.
213 	 Belarus 	      1.23 	 2008 est.
214 	 Czech Republic 	      1.23 	 2008 est.
215 	 Japan 	      1.22 	 2008 est.
216 	 Montserrat 	      1.22 	 2008 est.
217 	 Lithuania 	      1.22 	 2008 est.
218 	 Korea, South 	      1.20 	 2008 est.
219 	 Northern Mariana Islands 	      1.18 	 2008 est.
220 	 Taiwan 	      1.13 	 2008 est.
221 	 Singapore 	      1.08 	 2008 est.
222 	 Hong Kong 	      1.00 	 2008 est.
223 	 Macau 	      0.90 	 2008 est.

 This file was last updated on 18 December, 2008
