This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP - real growth rate(%) 	 Date of Information
197 	 Eritrea 	            1.30 	 2007 est.
198 	 Hungary 	            1.30 	 2007 est.
199 	 Jamaica 	            1.20 	 2007 est.
200 	 Mauritania 	            1.00 	 2007 est.
201 	 British Virgin Islands 	            1.00 	 2002 est.
202 	 Netherlands Antilles 	            1.00 	 2004 est.
203 	 Cayman Islands 	            0.90 	 2004 est.
204 	 Monaco 	            0.90 	 2000 est.
205 	 Dominica 	            0.90 	 2007 est.
206 	 Brunei 	            0.40 	 2007 est.
207 	 Micronesia, Federated States of 	            0.30 	 2005 est.
208 	 Cook Islands 	            0.10 	 2005 est.
209 	 Comoros 	           -1.00 	 2007 est.
210 	 Montserrat 	           -1.00 	 2002 est.
211 	 Korea, North 	           -1.10 	 2007 est.
212 	 Puerto Rico 	           -1.20 	 2007 est.
213 	 Congo, Republic of the 	           -1.60 	 2007 est.
214 	 Tonga 	           -3.50 	 2007 est.
215 	 Fiji 	           -4.40 	 2007 est.
216 	 Zimbabwe 	           -5.50 	 2007 est.
217 	 Gaza Strip 	           -8.00 	 2006 est.
218 	 West Bank 	           -8.00 	 2006 est.

 This file was last updated on 18 December, 2008
