This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Death rate(deaths/1,000 population) 	 Date of Information
191 	 Albania 	      5.12 	 2004 est.
192 	 Saint Lucia 	      5.12 	 2004 est.
193 	 Tunisia 	      5.09 	 2004 est.
194 	 Malaysia 	      5.06 	 2004 est.
195 	 Venezuela 	      4.90 	 2004 est.
196 	 Marshall Islands 	      4.88 	 2004 est.
197 	 Syria 	      4.88 	 2004 est.
198 	 Micronesia, Federated States of 	      4.87 	 2004 est.
199 	 French Guiana 	      4.85 	 2004 est.
200 	 Cayman Islands 	      4.81 	 2004 est.
201 	 Mexico 	      4.73 	 2004 est.
202 	 French Polynesia 	      4.63 	 2004 est.
203 	 Qatar 	      4.61 	 2004 est.
204 	 Algeria 	      4.60 	 2004 est.
205 	 Paraguay 	      4.53 	 2004 est.
206 	 Nicaragua 	      4.49 	 2004 est.
207 	 British Virgin Islands 	      4.42 	 2004 est.
208 	 Guam 	      4.41 	 2004 est.
209 	 Costa Rica 	      4.33 	 2004 est.
210 	 Turks and Caicos Islands 	      4.28 	 2004 est.
211 	 United Arab Emirates 	      4.26 	 2004 est.
212 	 Ecuador 	      4.24 	 2004 est.
213 	 Macau 	      4.23 	 2004 est.
214 	 Singapore 	      4.16 	 2004 est.
215 	 Bahrain 	      4.08 	 2004 est.
216 	 West Bank 	      3.99 	 2004 est.
217 	 Solomon Islands 	      3.98 	 2004 est.
218 	 Gaza Strip 	      3.87 	 2004 est.
219 	 Oman 	      3.86 	 2004 est.
220 	 Libya 	      3.48 	 2004 est.
221 	 Brunei 	      3.42 	 2004 est.
222 	 American Samoa 	      3.33 	 2004 est.
223 	 Jordan 	      2.63 	 2004 est.
224 	 Saudi Arabia 	      2.62 	 2004 est.
225 	 Kuwait 	      2.42 	 2004 est.
226 	 Northern Mariana Islands 	      2.30 	 2004 est.

 This file was last updated on 10 February, 2005
