This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 GDP 	 Date of Information
177 	 Aruba 	 $       1,940,000,000 	 2002 est.
178 	 Suriname 	 $       1,752,000,000 	 2003 est.
179 	 West Bank 	 $       1,700,000,000 	 2002 est.
180 	 Man, Isle of 	 $       1,600,000,000 	 2001 est.
181 	 French Guiana 	 $       1,551,000,000 	 2003 est.
182 	 Andorra 	 $       1,300,000,000 	 2000 est.
183 	 Guernsey 	 $       1,300,000,000 	 1999 est.
184 	 Belize 	 $       1,280,000,000 	 2002 est.
185 	 Cayman Islands 	 $       1,270,000,000 	 2002 est.
186 	 Equatorial Guinea 	 $       1,270,000,000 	 2002 est.
187 	 Maldives 	 $       1,250,000,000 	 2002 est.
188 	 Cyprus 	 $       1,217,000,000 	 2003 est.
189 	 Greenland 	 $       1,100,000,000 	 2001 est.
190 	 Guinea-Bissau 	 $       1,063,000,000 	 2003 est.
191 	 Faroe Islands 	 $       1,000,000,000 	 2001 est.
192 	 Samoa 	 $       1,000,000,000 	 2002 est.
193 	 San Marino 	 $        940,000,000 	 2001 est.
194 	 Northern Mariana Islands 	 $        900,000,000 	 2000 est.
195 	 Monaco 	 $        870,000,000 	 1999 est.
196 	 Saint Lucia 	 $        866,000,000 	 2002 est.
197 	 Liechtenstein 	 $        825,000,000 	 1999 est.
198 	 Solomon Islands 	 $        800,000,000 	 2001 est.
199 	 Gaza Strip 	 $        768,000,000 	 2003 est.
200 	 Antigua and Barbuda 	 $        750,000,000 	 2002 est.
201 	 Seychelles 	 $        626,000,000 	 2002 est.
202 	 Djibouti 	 $        619,000,000 	 2002 est.
203 	 Cape Verde 	 $        600,000,000 	 2002 est.
204 	 Vanuatu 	 $        563,000,000 	 2002 est.
205 	 American Samoa 	 $        500,000,000 	 2000 est.
206 	 Gibraltar 	 $        500,000,000 	 1997 est.
207 	 Mayotte 	 $        466,800,000 	 2003 est.
208 	 Comoros 	 $        441,000,000 	 2002 est.
209 	 Grenada 	 $        440,000,000 	 2002 est.
210 	 East Timor 	 $        440,000,000 	 2001 est.
211 	 Dominica 	 $        380,000,000 	 2002 est.
212 	 Saint Vincent and the Grenadines 	 $        342,000,000 	 2002 est.
213 	 Saint Kitts and Nevis 	 $        339,000,000 	 2002 est.
214 	 British Virgin Islands 	 $        320,000,000 	 2002 est.
215 	 Micronesia, Federated States of 	 $        277,000,000 	 2002 est.
216 	 Tonga 	 $        236,000,000 	 2001 est.
217 	 Turks and Caicos Islands 	 $        231,000,000 	 2000 est.
218 	 Sao Tome and Principe 	 $        214,000,000 	 2003 est.
219 	 Palau 	 $        174,000,000 	 2001 est.
220 	 Marshall Islands 	 $        115,000,000 	 2001 est.
221 	 Cook Islands 	 $        105,000,000 	 2001 est.
222 	 Anguilla 	 $        104,000,000 	 2001 est.
223 	 Kiribati 	 $         79,000,000 	 2001 est.
224 	 Falkland Islands (Islas Malvinas) 	 $         75,000,000 	 2002 est.
225 	 Nauru 	 $         60,000,000 	 2001 est.
226 	 Wallis and Futuna 	 $         57,590,000 	 2003 est.
227 	 Saint Pierre and Miquelon 	 $         48,330,000 	 2003 est.
228 	 Montserrat 	 $         29,000,000 	 2002 est.
229 	 Saint Helena 	 $         18,000,000 	 1998 est.
230 	 Tuvalu 	 $         12,200,000 	 2000 est.
231 	 Niue 	 $          7,600,000 	 2000 est.
232 	 Tokelau 	 $          1,500,000 	 1993 est.

 This file was last updated on 10 February, 2005
