This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - consumption(kWh) 	 Date of Information
179 	 Belize 	       193,300,000 	 2006 est.
180 	 Micronesia, Federated States of 	       178,600,000 	 2002
181 	 American Samoa 	       167,400,000 	 2006 est.
182 	 Grenada 	       144,200,000 	 2006 est.
183 	 Gambia, The 	       143,600,000 	 2006 est.
184 	 Gibraltar 	       142,000,000 	 2006 est.
185 	 Mayotte 	       139,200,000 	 2005
186 	 Burundi 	       120,900,000 	 2006 est.
187 	 Saint Kitts and Nevis 	       120,900,000 	 2006 est.
188 	 Saint Vincent and the Grenadines 	       120,000,000 	 2006 est.
189 	 Central African Republic 	       102,300,000 	 2006 est.
190 	 Samoa 	       101,400,000 	 2006 est.
191 	 Antigua and Barbuda 	        97,650,000 	 2006 est.
192 	 Chad 	        88,350,000 	 2006 est.
193 	 Dominica 	        83,700,000 	 2006 est.
194 	 Western Sahara 	        83,700,000 	 2006 est.
195 	 Solomon Islands 	        70,000,000 	 2007 est.
196 	 Guinea-Bissau 	        55,800,000 	 2006 est.
197 	 Saint Pierre and Miquelon 	        49,290,000 	 2006 est.
198 	 Cape Verde 	        43,710,000 	 2006 est.
199 	 British Virgin Islands 	        41,850,000 	 2006 est.
200 	 Vanuatu 	        39,990,000 	 2006 est.
201 	 Tonga 	        39,990,000 	 2006 est.
202 	 Nauru 	        28,830,000 	 2006 est.
203 	 Cook Islands 	        27,900,000 	 2006 est.
204 	 Equatorial Guinea 	        25,110,000 	 2006 est.
205 	 Montserrat 	        20,460,000 	 2006 est.
206 	 Comoros 	        18,600,000 	 2006 est.
207 	 Montenegro 	        18,600,000 	 2005
208 	 Sao Tome and Principe 	        16,740,000 	 2006 est.
209 	 Falkland Islands (Islas Malvinas) 	        14,880,000 	 2006 est.
210 	 Kiribati 	         9,300,000 	 2006 est.
211 	 Turks and Caicos Islands 	         9,300,000 	 2006 est.
212 	 Saint Helena 	         7,440,000 	 2006 est.
213 	 Niue 	         3,720,000 	 2006 est.
214 	 Gaza Strip 	          230,000 	 2005

 This file was last updated on 18 December, 2008
