This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - exports(bbl/day) 	 Date of Information
160 	 Burkina Faso 	               0 	 2005
161 	 Tanzania 	               0 	 2005
162 	 Sao Tome and Principe 	               0 	 2005
163 	 Tonga 	               0 	 2007 est.
164 	 Turks and Caicos Islands 	               0 	 2005
165 	 Macau 	               0 	 2005
166 	 Lesotho 	               0 	 2005
167 	 Lebanon 	               0 	 2005
168 	 Laos 	               0 	 2005
169 	 Kiribati 	               0 	 2005
170 	 Korea, North 	               0 	 2006
171 	 Jordan 	               0 	 2005 est.
172 	 Faroe Islands 	               0 	 2005
173 	 Paraguay 	               0 	 2007
174 	 Nauru 	               0 	 2005
175 	 Nepal 	               0 	 2005
176 	 Vanuatu 	               0 	 2005
177 	 Niger 	               0 	 2005
178 	 Niue 	               0 	 2005
179 	 Mozambique 	               0 	 2005
180 	 Malta 	               0 	 2005
181 	 Mauritania 	               0 	 2005
182 	 Mauritius 	               0 	 2006
183 	 Mali 	               0 	 2006
184 	 Malawi 	               0 	 2005
185 	 Montserrat 	               0 	 2005
186 	 Falkland Islands (Islas Malvinas) 	               0 	 2005
187 	 Ethiopia 	               0 	 2005
188 	 Dominican Republic 	               0 	 2005
189 	 Dominica 	               0 	 2005
190 	 Cyprus 	               0 	 2005
191 	 Cook Islands 	               0 	 2005
192 	 Cape Verde 	               0 	 2005
193 	 Cuba 	               0 	 2006
194 	 Haiti 	               0 	 2005
195 	 Guyana 	               0 	 2005
196 	 Guinea 	               0 	 2005
197 	 Guam 	               0 	 2005
198 	 Grenada 	               0 	 2005
199 	 Gibraltar 	               0 	 2005
200 	 French Polynesia 	               0 	 2005
201 	 Comoros 	               0 	 2005
202 	 Cambodia 	               0 	 2005
203 	 Burundi 	               0 	 2005
204 	 Solomon Islands 	               0 	 2005
205 	 Bosnia and Herzegovina 	               0 	 2005
206 	 Botswana 	               0 	 2005
207 	 Armenia 	               0 	 2005

 This file was last updated on 18 December, 2008
