This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Stock of domestic credit 	 Date of Information
163 	 Swaziland 	    204,100,000.00 	 31 December 2007
164 	 Dominica 	    193,100,000.00 	 31 December 2007
165 	 Bhutan 	    169,900,000.00 	 31 December 2007
166 	 Gambia, The 	    169,900,000.00 	 31 December 2007
167 	 Tonga 	    163,100,000.00 	 31 December 2007
168 	 Sierra Leone 	    162,900,000.00 	 31 December 2007
169 	 Solomon Islands 	    126,900,000.00 	 31 December 2007
170 	 Chad 	     82,810,000.00 	 31 December 2007
171 	 Guinea-Bissau 	     46,440,000.00 	 31 December 2007
172 	 Comoros 	     45,090,000.00 	 31 December 2007
173 	 Sao Tome and Principe 	     31,840,000.00 	 31 December 2007
174 	 Afghanistan 	     20,060,000.00 	 31 December 2007
175 	 Montserrat 	      5,537,000.00 	 31 December 2007

 This file was last updated on 18 December, 2008
