This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Oil - consumption(bbl/day) 	 Date of Information
47 	 Vietnam 	          271,100 	 2007 est.
48 	 Colombia 	          265,400 	 2006 est.
49 	 Syria 	          261,000 	 2006 est.
50 	 Chile 	          253,000 	 2006 est.
51 	 Switzerland 	          244,900 	 2007 est.
52 	 Kazakhstan 	          243,100 	 2006 est.
53 	 Romania 	          238,200 	 2006 est.
54 	 Israel 	          232,300 	 2006 est.
55 	 Finland 	          228,200 	 2007 est.
56 	 Norway 	          224,500 	 2007 est.
57 	 Puerto Rico 	          215,000 	 2007 est.
58 	 Czech Republic 	          207,400 	 2007 est.
59 	 Cuba 	          203,500 	 2006 est.
60 	 Ireland 	          200,900 	 2007 est.
61 	 Denmark 	          190,600 	 2007 est.
62 	 Belarus 	          179,700 	 2006 est.
63 	 Morocco 	          179,700 	 2006 est.
64 	 Peru 	          167,900 	 2006 est.
65 	 Hungary 	          162,800 	 2007 est.
66 	 Ecuador 	          160,500 	 2006 est.
67 	 Azerbaijan 	          160,000 	 2007 est.
68 	 New Zealand 	          158,400 	 2007 est.
69 	 Uzbekistan 	          157,100 	 2006 est.
70 	 Yemen 	          135,400 	 2006 est.
71 	 Dominican Republic 	          117,300 	 2006 est.
72 	 Jordan 	          110,700 	 2006 est.
73 	 Bulgaria 	          109,600 	 2006 est.
74 	 Qatar 	          108,900 	 2006 est.
75 	 Turkmenistan 	          107,400 	 2006 est.
76 	 Lebanon 	          106,000 	 2006 est.
77 	 Croatia 	          101,800 	 2006 est.
78 	 Panama 	           92,790 	 2006 est.
79 	 Virgin Islands 	           91,680 	 2007 est.
80 	 Tunisia 	           91,110 	 2006 est.
81 	 Bangladesh 	           89,940 	 2006 est.
82 	 Sri Lanka 	           86,030 	 2006 est.
83 	 Serbia 	           85,000 	 2003 est.
84 	 Slovakia 	           82,860 	 2007 est.
85 	 Sudan 	           79,760 	 2006 est.
86 	 Guatemala 	           74,230 	 2006 est.
87 	 Jamaica 	           73,370 	 2006 est.
88 	 Oman 	           69,100 	 2006 est.
89 	 Netherlands Antilles 	           67,450 	 2006 est.
90 	 Kenya 	           65,530 	 2006 est.
91 	 Luxembourg 	           60,640 	 2007 est.
92 	 Cyprus 	           57,830 	 2006 est.
93 	 Lithuania 	           57,170 	 2006 est.
94 	 Angola 	           55,640 	 2006 est.
95 	 Slovenia 	           54,310 	 2006 est.
96 	 Ghana 	           49,300 	 2006 est.
97 	 Honduras 	           46,830 	 2006 est.
98 	 Costa Rica 	           45,600 	 2006 est.
99 	 El Salvador 	           44,330 	 2006 est.
100 	 Burma 	           43,140 	 2006 est.
101 	 Armenia 	           41,090 	 2006 est.
102 	 Senegal 	           36,200 	 2006 est.
103 	 Latvia 	           35,180 	 2006 est.
104 	 Uruguay 	           33,400 	 2007 est.
105 	 Bahrain 	           32,830 	 2006 est.
106 	 Tajikistan 	           31,590 	 2006 est.
107 	 Bolivia 	           31,500 	 2007 est.
108 	 Albania 	           30,900 	 2006 est.
109 	 Ethiopia 	           30,450 	 2006 est.
110 	 Estonia 	           30,440 	 2006 est.
111 	 Papua New Guinea 	           29,050 	 2006 est.
112 	 Nicaragua 	           28,880 	 2006 est.
113 	 Trinidad and Tobago 	           28,730 	 2006 est.
114 	 Bosnia and Herzegovina 	           27,590 	 2006 est.
115 	 Paraguay 	           27,410 	 2006 est.
116 	 Tanzania 	           27,270 	 2006 est.
