This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Reserves of foreign exchange and gold 	 Date of Information
122 	 Gabon 	 $       1,238,000,000 	 31 December 2007 est.
123 	 Benin 	 $       1,209,000,000 	 31 December 2007 est.
124 	 Kyrgyzstan 	 $       1,177,000,000 	 31 December 2007 est.
125 	 Nicaragua 	 $       1,103,000,000 	 31 December 2007 est.
126 	 Zambia 	 $       1,090,000,000 	 31 December 2007 est.
127 	 Burkina Faso 	 $       1,029,000,000 	 31 December 2007 est.
128 	 Chad 	 $        969,000,000 	 31 December 2007 est.
129 	 Ireland 	 $        926,200,000 	 2006 est.
130 	 Namibia 	 $        896,000,000 	 31 December 2007 est.
131 	 Lesotho 	 $        852,000,000 	 31 December 2007 est.
132 	 Madagascar 	 $        846,700,000 	 31 December 2007 est.
133 	 Swaziland 	 $        762,700,000 	 31 December 2007 est.
134 	 Barbados 	 $        620,000,000 	 2007
135 	 Rwanda 	 $        552,800,000 	 31 December 2007 est.
136 	 Laos 	 $        540,000,000 	 31 December 2007 est.
137 	 Haiti 	 $        444,000,000 	 31 December 2007 est.
138 	 Togo 	 $        438,000,000 	 31 December 2007 est.
139 	 Cape Verde 	 $        398,000,000 	 31 December 2007 est.
140 	 Guyana 	 $        313,000,000 	 31 December 2007 est.
141 	 Suriname 	 $        263,300,000 	 2006
142 	 Tajikistan 	 $        242,000,000 	 31 December 2007 est.
143 	 Malawi 	 $        217,200,000 	 31 December 2007 est.
144 	 Luxembourg 	 $        205,500,000 	 2006 est.
145 	 Burundi 	 $        177,100,000 	 31 December 2007 est.
146 	 Gambia, The 	 $        142,800,000 	 31 December 2007 est.
147 	 Zimbabwe 	 $        120,000,000 	 31 December 2007 est.
148 	 Guinea 	 $        119,000,000 	 31 December 2007 est.
149 	 Belize 	 $        109,000,000 	 31 December 2007 est.
150 	 Samoa 	 $         70,150,000 	 FY03/04
151 	 Tonga 	 $         40,830,000 	 yearend, FY04/05
152 	 Seychelles 	 $         40,800,000 	 31 December 2007 est.
153 	 Vanuatu 	 $         40,540,000 	 2003
154 	 Sao Tome and Principe 	 $         34,600,000 	 31 December 2007 est.
155 	 Eritrea 	 $         23,000,000 	 31 December 2007 est.

 This file was last updated on 18 December, 2008
