This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Industrial production growth rate(%) 	 Date of Information
174 	 Comoros 	           -2.00 	 1999 est.
175 	 Gambia, The 	           -2.30 	 2007 est.
176 	 Barbados 	           -3.20 	 2000 est.
177 	 Zimbabwe 	           -5.00 	 2007 est.
178 	 Saint Lucia 	           -8.90 	 1997 est.
179 	 Dominica 	          -10.00 	 1997 est.
180 	 Congo, Republic of the 	          -12.00 	 2007 est.
181 	 Guyana 	          -26.40 	 2007 est.

 This file was last updated on 18 December, 2008
