This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Exports 	 Date of Information
143 	 Kyrgyzstan 	 $       1,337,000,000 	 2007 est.
144 	 San Marino 	 $       1,291,000,000 	 2004
145 	 Ethiopia 	 $       1,288,000,000 	 2007 est.
146 	 Fiji 	 $       1,202,000,000 	 2006
147 	 Armenia 	 $       1,200,000,000 	 2007 est.
148 	 Liberia 	 $       1,197,000,000 	 2006
149 	 Guinea 	 $       1,128,000,000 	 2007 est.
150 	 Albania 	 $       1,076,000,000 	 2007 est.
151 	 Madagascar 	 $        986,000,000 	 2007 est.
152 	 Laos 	 $        970,000,000 	 2007 est.
153 	 Lesotho 	 $        853,000,000 	 2007 est.
154 	 Nepal 	 $        830,000,000 	 2006
155 	 Bermuda 	 $        763,000,000 	 2006
156 	 Monaco 	 $        716,300,000 	 2005
157 	 Togo 	 $        702,000,000 	 2007 est.
158 	 Guyana 	 $        683,000,000 	 2007 est.
159 	 Bahamas, The 	 $        674,000,000 	 2006
160 	 Faroe Islands 	 $        634,000,000 	 2006
161 	 Burkina Faso 	 $        617,000,000 	 2007 est.
162 	 Malawi 	 $        604,000,000 	 2007 est.
163 	 Benin 	 $        586,000,000 	 2007 est.
164 	 Haiti 	 $        522,000,000 	 2007 est.
165 	 Greenland 	 $        480,000,000 	 2006
166 	 American Samoa 	 $        445,600,000 	 FY04 est.
167 	 Belize 	 $        429,000,000 	 2007 est.
168 	 Niger 	 $        428,000,000 	 2006
169 	 Seychelles 	 $        395,000,000 	 2007 est.
170 	 Barbados 	 $        385,000,000 	 2006
171 	 Bhutan 	 $        350,000,000 	 2006
172 	 Djibouti 	 $        340,000,000 	 2006
173 	 Gaza Strip 	 $        301,000,000 	 2005
174 	 West Bank 	 $        301,000,000 	 2005
175 	 Somalia 	 $        300,000,000 	 2006
176 	 Mali 	 $        294,000,000 	 2006
177 	 Saint Lucia 	 $        288,000,000 	 2006
178 	 Afghanistan 	 $        274,000,000 	 2006
179 	 Gibraltar 	 $        271,000,000 	 2004 est.
180 	 Solomon Islands 	 $        237,000,000 	 2006
181 	 Sierra Leone 	 $        216,000,000 	 2006
182 	 French Polynesia 	 $        211,000,000 	 2005 est.
183 	 Svalbard 	 $        197,600,000 	 2004
184 	 Saint Vincent and the Grenadines 	 $        193,000,000 	 2006
185 	 Rwanda 	 $        184,000,000 	 2007 est.
186 	 Montenegro 	 $        171,300,000 	 2003
187 	 Turks and Caicos Islands 	 $        169,200,000 	 2000
188 	 Maldives 	 $        167,000,000 	 2006
189 	 Andorra 	 $        148,700,000 	 2005
190 	 Kosovo 	 $        148,400,000 	 2007
191 	 Central African Republic 	 $        146,700,000 	 2007 est.
192 	 Guinea-Bissau 	 $        133,000,000 	 2006
193 	 Samoa 	 $        131,000,000 	 2006
194 	 Falkland Islands (Islas Malvinas) 	 $        125,000,000 	 2004 est.
195 	 Aruba 	 $        124,000,000 	 2006
196 	 Dominica 	 $         94,000,000 	 2006
