This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Electricity - production(kWh) 	 Date of Information
81 	 Oman 	     13,580,000,000 	 2007 est.
82 	 Dominican Republic 	     13,370,000,000 	 2006 est.
83 	 Bosnia and Herzegovina 	     12,840,000,000 	 2006 est.
84 	 Turkmenistan 	     12,830,000,000 	 2006 est.
85 	 Tunisia 	     12,650,000,000 	 2006 est.
86 	 Croatia 	     12,410,000,000 	 2006 est.
87 	 Lithuania 	     11,910,000,000 	 2006 est.
88 	 Iceland 	     11,710,000,000 	 2007 est.
89 	 Jordan 	     10,870,000,000 	 2006 est.
90 	 Zimbabwe 	      9,467,000,000 	 2006 est.
91 	 Zambia 	      9,289,000,000 	 2006 est.
92 	 Bahrain 	      9,233,000,000 	 2006 est.
93 	 Uruguay 	      9,200,000,000 	 2007
94 	 Estonia 	      9,158,000,000 	 2006 est.
95 	 Lebanon 	      8,764,000,000 	 2006 est.
96 	 Costa Rica 	      8,521,000,000 	 2006 est.
97 	 Sri Lanka 	      8,317,000,000 	 2006 est.
98 	 Ghana 	      8,204,000,000 	 2006 est.
99 	 Trinidad and Tobago 	      7,704,000,000 	 2007
100 	 Guatemala 	      7,643,000,000 	 2006 est.
101 	 Congo, Democratic Republic of the 	      7,243,000,000 	 2006 est.
102 	 Georgia 	      7,116,000,000 	 2006 est.
103 	 Jamaica 	      7,040,000,000 	 2006 est.
104 	 Kenya 	      6,264,000,000 	 2006 est.
105 	 Macedonia 	      6,051,000,000 	 2007
106 	 Burma 	      5,961,000,000 	 2006 est.
107 	 Panama 	      5,805,000,000 	 2006 est.
108 	 Honduras 	      5,753,000,000 	 2006 est.
109 	 Bolivia 	      5,668,000,000 	 2007 est.
110 	 Armenia 	      5,544,000,000 	 2007 est.
111 	 El Salvador 	      5,338,000,000 	 2007 est.
112 	 Cote d'Ivoire 	      5,274,000,000 	 2006 est.
113 	 Yemen 	      5,017,000,000 	 2006 est.
114 	 Latvia 	      4,734,000,000 	 2006 est.
115 	 Cyprus 	      4,520,000,000 	 2007 est.
116 	 Bhutan 	      4,475,000,000 	 2007 est.
117 	 Sudan 	      4,037,000,000 	 2006 est.
118 	 Kosovo 	      3,996,000,000 	 2006
119 	 Cameroon 	      3,903,000,000 	 2006 est.
120 	 Moldova 	      3,824,000,000 	 2006 est.
121 	 Angola 	      3,513,000,000 	 2006 est.
122 	 Ethiopia 	      3,268,000,000 	 2006 est.
123 	 Brunei 	      3,100,000,000 	 2006 est.
124 	 Mongolia 	      3,078,000,000 	 2007 est.
125 	 Nicaragua 	      3,012,000,000 	 2006 est.
126 	 Luxembourg 	      3,010,000,000 	 2007 est.
127 	 Albania 	      2,892,000,000 	 2007 est.
128 	 Papua New Guinea 	      2,875,000,000 	 2006 est.
129 	 Montenegro 	      2,864,000,000 	 2005 est.
130 	 Nepal 	      2,703,000,000 	 2007 est.
131 	 Tanzania 	      2,682,000,000 	 2006 est.
132 	 Mauritius 	      2,321,000,000 	 2007 est.
133 	 Senegal 	      2,280,000,000 	 2006 est.
134 	 Malta 	      2,146,000,000 	 2007 est.
135 	 Bahamas, The 	      2,050,000,000 	 2007 est.
136 	 Guam 	      1,789,000,000 	 2006 est.
137 	 Gabon 	      1,671,000,000 	 2006 est.
138 	 Laos 	      1,639,000,000 	 2006 est.
139 	 Namibia 	      1,606,000,000 	 2007 est.
140 	 New Caledonia 	      1,602,000,000 	 2006 est.
141 	 Suriname 	      1,595,000,000 	 2006 est.
142 	 Macau 	      1,454,000,000 	 2007 est.
143 	 Netherlands Antilles 	      1,195,000,000 	 2006 est.
144 	 Cambodia 	      1,163,000,000 	 2006 est.
145 	 Uganda 	      1,161,000,000 	 2006 est.
146 	 Malawi 	      1,130,000,000 	 2006 est.
147 	 Madagascar 	      1,045,000,000 	 2007 est.
148 	 Barbados 	      1,003,000,000 	 2007 est.
149 	 Botswana 	       979,000,000 	 2006 est.
150 	 Virgin Islands 	       960,000,000 	 2006 est.
151 	 Fiji 	       928,000,000 	 2007 est.
152 	 Guyana 	       901,000,000 	 2006 est.
153 	 Afghanistan 	       839,000,000 	 2007 est.
154 	 Aruba 	       800,000,000 	 2006 est.
155 	 Guinea 	       800,000,000 	 2006 est.
156 	 Bermuda 	       675,600,000 	 2007 est.
157 	 Burkina Faso 	       611,600,000 	 2007 est.
158 	 Haiti 	       549,000,000 	 2006 est.
159 	 Cayman Islands 	       546,100,000 	 2007 est.
160 	 Mali 	       505,000,000 	 2006 est.
161 	 French Polynesia 	       475,000,000 	 2006 est.
162 	 Swaziland 	       460,000,000 	 2007
163 	 Congo, Republic of the 	       444,000,000 	 2006 est.
164 	 Mauritania 	       412,300,000 	 2006 est.
165 	 Saint Lucia 	       325,000,000 	 2007 est.
166 	 Liberia 	       320,000,000 	 2006 est.
167 	 Greenland 	       305,000,000 	 2006 est.
168 	 Faroe Islands 	       295,000,000 	 2006 est.
169 	 Somalia 	       280,000,000 	 2006 est.
170 	 Eritrea 	       253,000,000 	 2006 est.
171 	 Djibouti 	       250,000,000 	 2006 est.
172 	 Sierra Leone 	       250,000,000 	 2006 est.
173 	 Niger 	       240,000,000 	 2006 est.
174 	 Maldives 	       230,000,000 	 2007 est.
175 	 Belize 	       213,500,000 	 2007 est.
176 	 Seychelles 	       208,000,000 	 2006 est.
177 	 Togo 	       203,000,000 	 2006 est.
178 	 Gambia, The 	       200,200,000 	 2007 est.
179 	 Lesotho 	       200,000,000 	 2006 est.
180 	 Micronesia, Federated States of 	       192,000,000 	 2002
181 	 American Samoa 	       180,000,000 	 2006 est.
182 	 Grenada 	       167,200,000 	 2006 est.
183 	 Gibraltar 	       142,000,000 	 2006 est.
184 	 Rwanda 	       134,000,000 	 2006 est.
185 	 Saint Kitts and Nevis 	       130,000,000 	 2006 est.
186 	 Saint Vincent and the Grenadines 	       129,000,000 	 2006 est.
187 	 Benin 	       120,000,000 	 2006 est.
188 	 Central African Republic 	       110,000,000 	 2006 est.
189 	 Samoa 	       109,000,000 	 2006 est.
190 	 Antigua and Barbuda 	       105,000,000 	 2006 est.
191 	 Chad 	        95,000,000 	 2006 est.
192 	 Dominica 	        90,000,000 	 2006 est.
193 	 Western Sahara 	        90,000,000 	 2006 est.
194 	 Burundi 	        87,000,000 	 2006 est.
195 	 Solomon Islands 	        70,000,000 	 2007 est.
196 	 Guinea-Bissau 	        60,000,000 	 2006 est.
197 	 Saint Pierre and Miquelon 	        53,000,000 	 2006 est.
198 	 Cape Verde 	        47,000,000 	 2006 est.
199 	 Vanuatu 	        46,000,000 	 2007 est.
200 	 British Virgin Islands 	        45,000,000 	 2006 est.
201 	 Tonga 	        43,000,000 	 2007 est.
202 	 Nauru 	        31,000,000 	 2006 est.
203 	 Cook Islands 	        30,000,000 	 2006 est.
204 	 Equatorial Guinea 	        27,000,000 	 2006 est.
205 	 Montserrat 	        22,000,000 	 2006 est.
206 	 Comoros 	        20,000,000 	 2006 est.
207 	 Sao Tome and Principe 	        18,000,000 	 2006 est.
208 	 Falkland Islands (Islas Malvinas) 	        16,000,000 	 2006 est.
209 	 Kiribati 	        10,000,000 	 2006 est.
210 	 Turks and Caicos Islands 	        10,000,000 	 2006 est.
211 	 Saint Helena 	         8,000,000 	 2006 est.
212 	 Niue 	         4,000,000 	 2006 est.
213 	 Gaza Strip 	          140,000 	 2005

 This file was last updated on 18 December, 2008
