This tab-delimited file can be read by most spreadsheet applications after being saved properly.  At the top of your browser window, click 'File' and 'Save As...'  After saving the file, open your spreadsheet, find the file you just saved and then 'Open' it.
Rank 	 Country 	 Labor force 	 Date of Information
137 	 Estonia 	          654,000 	 2003 est.
138 	 Gabon 	          610,000 	 2003
139 	 Trinidad and Tobago 	          590,000 	 2003
140 	 Mauritius 	          560,000 	 2003
141 	 Guinea-Bissau 	          480,000 	 1999
142 	 Guyana 	          418,000 	 2001 est.
143 	 Gambia, The 	          400,000 	 1996
144 	 Swaziland 	          383,200 	 2000
145 	 Bahrain 	          350,000 	 2003 est.
146 	 Cyprus 	          330,000 	 2003
147 	 Reunion 	          309,900 	 2000
148 	 Djibouti 	          282,000 	 2000
149 	 Botswana 	          264,000 	 2000
150 	 Macau 	          214,000 	 2002
151 	 Luxembourg 	          200,000 	 2003
152 	 Martinique 	          165,900 	 1998
153 	 Iceland 	          160,000 	 2003
154 	 Malta 	          160,000 	 2002 est.
155 	 Bahamas, The 	          156,000 	 1999
156 	 Comoros 	          144,500 	 1996 est.
157 	 Brunei 	          143,400 	 1999 est.
158 	 Qatar 	          140,000 	 2003 est.
159 	 Fiji 	          137,000 	 1999
160 	 Barbados 	          128,500 	 2001 est.
161 	 Guadeloupe 	          125,900 	 1997
162 	 Suriname 	          100,000 	 
163 	 Belize 	           90,000 	 2001 est.
164 	 Samoa 	           90,000 	 2000 est.
165 	 Netherlands Antilles 	           89,000 	 2000
166 	 Maldives 	           88,000 	 2000
167 	 New Caledonia 	           79,400 	 
168 	 French Polynesia 	           70,000 	 1996
169 	 Niger 	           70,000 	 2002 est.
170 	 Saint Vincent and the Grenadines 	           67,000 	 1984 est.
171 	 Guam 	           60,000 	 2000 est.
172 	 French Guiana 	           58,800 	 1997
173 	 Jersey 	           57,050 	 1996
174 	 Virgin Islands 	           48,900 	 2003 est.
175 	 Mayotte 	           48,800 	 2000
176 	 Saint Lucia 	           43,800 	 2001 est.
177 	 Grenada 	           42,300 	 1996
178 	 Aruba 	           41,500 	 1997 est.
179 	 Bermuda 	           37,470 	 2000
180 	 Man, Isle of 	           36,610 	 1998
181 	 Tonga 	           33,910 	 1996
182 	 Andorra 	           33,000 	 2001 est.
183 	 Guernsey 	           31,320 	 2000
184 	 Seychelles 	           30,900 	 1996
185 	 Monaco 	           30,540 	 January 1994
186 	 Antigua and Barbuda 	           30,000 	 
187 	 Liechtenstein 	           29,000 	 31 December 2001
188 	 Marshall Islands 	           28,700 	 1996 est.
189 	 Solomon Islands 	           26,840 	 1999
190 	 Dominica 	           25,000 	 1999 est.
191 	 Greenland 	           24,500 	 1999 est.
192 	 Faroe Islands 	           24,250 	 October 2000
193 	 Cayman Islands 	           19,820 	 1995
194 	 San Marino 	           18,500 	 1999
195 	 Saint Kitts and Nevis 	           18,170 	 June 1995
196 	 Gibraltar 	           14,800 	 1999
197 	 American Samoa 	           14,000 	 1996
198 	 Western Sahara 	           12,000 	 
199 	 Palau 	            9,845 	 2000
200 	 Cook Islands 	            8,000 	 1996
201 	 Kiribati 	            7,870 	 2001 est.
202 	 Tuvalu 	            7,000 	 2001 est.
203 	 Anguilla 	            6,049 	 2001
204 	 Northern Mariana Islands 	            6,006 	 June 1995
205 	 British Virgin Islands 	            4,911 	 1980
206 	 Turks and Caicos Islands 	            4,848 	 1990 est.
207 	 Montserrat 	            4,521 	 2000 est.
208 	 Saint Helena 	            3,500 	 1998 est.
209 	 Saint Pierre and Miquelon 	            3,261 	 1999
210 	 Falkland Islands (Islas Malvinas) 	            1,100 	 
211 	 Pitcairn Islands 	              12 	 1997

 This file was last updated on 10 February, 2005
